date,stock_id,stock_name,call_warrant_count,put_warrant_count,call_turnover,put_turnover,total_warrant_turnover,call_volume,put_volume,total_warrant_volume,call_put_turnover_ratio,candidate_category,candidate_category_zh,sector,sub_theme,tdcc_status,tdcc_status_zh,warrant_flow_signal,warrant_flow_signal_zh,data_quality_note
20260901,3035,智原,155,0,14659170.0,0.0,14659170.0,19585000.0,0.0,19585000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,6139,亞翔,233,0,14014520.0,0.0,14014520.0,14459000.0,0.0,14459000.0,,"revenue_breakout_low_response,revenue_pullback",營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_strong_inflow,認購明確偏多,
20260901,2312,金寶,77,0,13825330.0,0.0,13825330.0,11263000.0,0.0,11263000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2059,川湖,103,0,13535750.0,0.0,13535750.0,1245000.0,0.0,1245000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,4919,新唐,105,0,12930000.0,0.0,12930000.0,18345000.0,0.0,18345000.0,,pattern,型態觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2474,可成,71,0,12720700.0,0.0,12720700.0,13027000.0,0.0,13027000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,6196,帆宣,105,0,12566070.0,0.0,12566070.0,11843000.0,0.0,11843000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,7711,永擎,9,0,12249440.0,0.0,12249440.0,6050000.0,0.0,6050000.0,,true_breakout,嚴格突破,,,,,call_strong_inflow,認購明確偏多,
20260901,3036,文曄,102,0,12037500.0,0.0,12037500.0,11955000.0,0.0,11955000.0,,"revenue_breakout_low_response,revenue_pullback",營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_strong_inflow,認購明確偏多,
20260901,0069,期街口S&P黃豆,27,0,10887980.0,0.0,10887980.0,6451000.0,0.0,6451000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,1503,士電,76,0,10614020.0,0.0,10614020.0,18457000.0,0.0,18457000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,8028,昇陽半導體,104,0,9928750.0,0.0,9928750.0,10002000.0,0.0,10002000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,4763,材料*-KY,58,0,9749840.0,0.0,9749840.0,11825000.0,0.0,11825000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,3034,聯詠,108,0,9283280.0,0.0,9283280.0,4495000.0,0.0,4495000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2883,凱基金,26,0,9241810.0,0.0,9241810.0,5298000.0,0.0,5298000.0,,pattern,型態觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2359,所羅門,107,0,9096010.0,0.0,9096010.0,10343000.0,0.0,10343000.0,,pattern,型態觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,1101,台泥,23,0,9054710.0,0.0,9054710.0,9183000.0,0.0,9183000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2379,瑞昱,108,0,8257760.0,0.0,8257760.0,7175000.0,0.0,7175000.0,,"range_rebound,revenue_pullback",區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,5434,崇越,20,0,8059160.0,0.0,8059160.0,6145000.0,0.0,6145000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,3189,景碩,77,0,7779420.0,0.0,7779420.0,1212000.0,0.0,1212000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,1312,國喬,36,0,7672500.0,0.0,7672500.0,7880000.0,0.0,7880000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,3013,晟銘電,63,0,7648700.0,0.0,7648700.0,6785000.0,0.0,6785000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,4938,和碩,36,0,7613010.0,0.0,7613010.0,6105000.0,0.0,6105000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,6414,樺漢,79,0,7469090.0,0.0,7469090.0,8514000.0,0.0,8514000.0,,"revenue_breakout_low_response,revenue_pullback",營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_strong_inflow,認購明確偏多,
20260901,3055,蔚華科,14,0,7392750.0,0.0,7392750.0,9166000.0,0.0,9166000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,3005,神基,48,0,7335780.0,0.0,7335780.0,10513000.0,0.0,10513000.0,,pattern,型態觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,1409,新纖,30,0,7263400.0,0.0,7263400.0,5133000.0,0.0,5133000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,3563,牧德,143,0,7213990.0,0.0,7213990.0,8314000.0,0.0,8314000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,3443,創意,41,0,6552910.0,0.0,6552910.0,935000.0,0.0,935000.0,,revenue_pullback,營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,4906,正文,53,0,6430680.0,0.0,6430680.0,10795000.0,0.0,10795000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2441,超豐,83,0,6411800.0,0.0,6411800.0,9411000.0,0.0,9411000.0,,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,6706,惠特,83,0,6360120.0,0.0,6360120.0,11929000.0,0.0,11929000.0,,"range_rebound,revenue_breakout_low_response",區間內轉強 / 挑戰前高觀察、營收爆發但股價尚未反應,mainstream_growth,mainstream_growth,,,call_strong_inflow,認購明確偏多,
20260901,7769,鴻勁,24,0,6343330.0,0.0,6343330.0,4085000.0,0.0,4085000.0,,"pullback_rebound,revenue_breakout_low_response,revenue_pullback",回檔後短線轉強、營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_strong_inflow,認購明確偏多,
20260901,3090,日電貿,46,0,6083780.0,0.0,6083780.0,5083000.0,0.0,5083000.0,,pattern,型態觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2493,揚博,78,0,5905210.0,0.0,5905210.0,7155000.0,0.0,7155000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,8103,瀚荃,17,0,5834310.0,0.0,5834310.0,4284000.0,0.0,4284000.0,,true_breakout,嚴格突破,,,,,call_strong_inflow,認購明確偏多,
20260901,4551,智伸科,35,0,5544440.0,0.0,5544440.0,6645000.0,0.0,6645000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2455,全新,18,0,5119440.0,0.0,5119440.0,934000.0,0.0,934000.0,,true_breakout,嚴格突破,,,,,call_strong_inflow,認購明確偏多,
20260901,2402,毅嘉,80,0,4912170.0,0.0,4912170.0,5829000.0,0.0,5829000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,2645,長榮航太,54,0,4803800.0,0.0,4803800.0,6153000.0,0.0,6153000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,2201,裕隆,3,0,4601500.0,0.0,4601500.0,5288000.0,0.0,5288000.0,,true_breakout,嚴格突破,,,,,call_strong_inflow,認購明確偏多,
20260901,2890,永豐金,18,0,4573390.0,0.0,4573390.0,2937000.0,0.0,2937000.0,,"range_rebound,revenue_pullback",區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,2885,元大金,14,0,4540690.0,0.0,4540690.0,3922000.0,0.0,3922000.0,,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,7750,新代,44,0,4303230.0,0.0,4303230.0,3635000.0,0.0,3635000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,1504,東元,73,0,4301960.0,0.0,4301960.0,4255000.0,0.0,4255000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,0052,富邦科技,28,0,4174380.0,0.0,4174380.0,1519000.0,0.0,1519000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,6214,精誠,16,0,4169360.0,0.0,4169360.0,2116000.0,0.0,2116000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,5292,華懋,11,0,4146030.0,0.0,4146030.0,5432000.0,0.0,5432000.0,,true_breakout,嚴格突破,,,,,call_strong_inflow,認購明確偏多,
20260901,1597,直得,26,0,4122610.0,0.0,4122610.0,6161000.0,0.0,6161000.0,,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,5284,jpp-KY,70,0,4010490.0,0.0,4010490.0,4810000.0,0.0,4810000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,3030,德律,164,0,3981050.0,0.0,3981050.0,5156000.0,0.0,5156000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,1773,勝一,14,0,3846820.0,0.0,3846820.0,6703000.0,0.0,6703000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_strong_inflow,認購明確偏多,
20260901,6753,龍德造船,81,0,3829400.0,0.0,3829400.0,3879000.0,0.0,3879000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,2484,希華,23,0,3535430.0,0.0,3535430.0,3734000.0,0.0,3734000.0,,pattern,型態觀察,,,,,call_strong_inflow,認購明確偏多,
20260901,6491,晶碩,8,0,3390510.0,0.0,3390510.0,2518000.0,0.0,2518000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,1476,儒鴻,18,0,3245860.0,0.0,3245860.0,4224000.0,0.0,4224000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,6782,視陽,6,0,3142730.0,0.0,3142730.0,2996000.0,0.0,2996000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,3413,京鼎,63,0,3063350.0,0.0,3063350.0,3046000.0,0.0,3046000.0,,,,,,,,call_strong_inflow,認購明確偏多,
20260901,2313,華通,367,0,81073060.0,0.0,81073060.0,59619000.0,0.0,59619000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_inflow,認購偏多,
20260901,3661,世芯-KY,227,0,78351400.0,0.0,78351400.0,55733000.0,0.0,55733000.0,,pattern,型態觀察,,,,,call_inflow,認購偏多,
20260901,3406,玉晶光,142,0,67876550.0,0.0,67876550.0,35215000.0,0.0,35215000.0,,,,,,,,call_inflow,認購偏多,
20260901,3231,緯創,276,0,53642910.0,0.0,53642910.0,40561000.0,0.0,40561000.0,,"pattern,revenue_breakout_low_response,revenue_pullback",型態觀察、營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_inflow,認購偏多,
20260901,3711,日月光投控,304,0,51190740.0,0.0,51190740.0,45966000.0,0.0,45966000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_inflow,認購偏多,
20260901,2357,華碩,117,0,43911560.0,0.0,43911560.0,29452000.0,0.0,29452000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_inflow,認購偏多,
20260901,3481,群創,191,0,42741200.0,0.0,42741200.0,23568000.0,0.0,23568000.0,,pattern,型態觀察,,,,,call_inflow,認購偏多,
20260901,1802,台玻,126,0,37709080.0,0.0,37709080.0,26926000.0,0.0,26926000.0,,"range_rebound,revenue_pullback",區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_inflow,認購偏多,
20260901,0001,臺股指數,449,0,37077730.0,0.0,37077730.0,24969000.0,0.0,24969000.0,,,,,,,,call_inflow,認購偏多,
20260901,6531,愛普*,84,0,30604510.0,0.0,30604510.0,17956000.0,0.0,17956000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_inflow,認購偏多,
20260901,2481,強茂,168,0,26089490.0,0.0,26089490.0,24722000.0,0.0,24722000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_inflow,認購偏多,
20260901,6257,矽格,127,0,24213710.0,0.0,24213710.0,23835000.0,0.0,23835000.0,,"pullback_rebound,range_rebound,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收成長股價回檔,,,,,call_inflow,認購偏多,
20260901,2603,長榮,151,0,21810030.0,0.0,21810030.0,19685000.0,0.0,19685000.0,,pattern,型態觀察,,,,,call_inflow,認購偏多,
20260901,0098,主動統一台股增長,112,0,19116330.0,0.0,19116330.0,19681000.0,0.0,19681000.0,,,,,,,,call_inflow,認購偏多,
20260901,2464,盟立,118,0,19002010.0,0.0,19002010.0,16574000.0,0.0,16574000.0,,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,call_inflow,認購偏多,
20260901,8210,勤誠,175,0,17396870.0,0.0,17396870.0,30069000.0,0.0,30069000.0,,revenue_pullback,營收成長股價回檔,,,,,call_inflow,認購偏多,
20260901,6271,同欣電,106,0,17380560.0,0.0,17380560.0,18397000.0,0.0,18397000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_inflow,認購偏多,
20260901,6409,旭隼,100,0,15347010.0,0.0,15347010.0,19709000.0,0.0,19709000.0,,,,,,,,call_inflow,認購偏多,
20260901,2489,瑞軒,24,0,14100560.0,0.0,14100560.0,12702000.0,0.0,12702000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_inflow,認購偏多,
20260901,4977,眾達-KY,119,0,14035080.0,0.0,14035080.0,17968000.0,0.0,17968000.0,,,,,,,,call_inflow,認購偏多,
20260901,2476,鉅祥,75,0,13677980.0,0.0,13677980.0,15932000.0,0.0,15932000.0,,"pullback_rebound,range_rebound,revenue_breakout_low_response,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_inflow,認購偏多,
20260901,3583,辛耘,122,0,13023290.0,0.0,13023290.0,11414000.0,0.0,11414000.0,,pattern,型態觀察,,,,,call_inflow,認購偏多,
20260901,2316,楠梓電,89,0,12958420.0,0.0,12958420.0,14549000.0,0.0,14549000.0,,"pullback_rebound,range_rebound,revenue_breakout_low_response,revenue_pullback",回檔後短線轉強、區間內轉強 / 挑戰前高觀察、營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_inflow,認購偏多,
20260901,2027,大成鋼,65,0,7469180.0,0.0,7469180.0,5714000.0,0.0,5714000.0,,"pattern,revenue_pullback",型態觀察、營收成長股價回檔,,,,,call_inflow,認購偏多,
20260901,2360,致茂,50,0,7083580.0,0.0,7083580.0,5616000.0,0.0,5616000.0,,"pattern,revenue_breakout_low_response,revenue_pullback",型態觀察、營收爆發但股價尚未反應、營收成長股價回檔,mainstream_growth,mainstream_growth,,,call_inflow,認購偏多,
20260901,0068,元大美債20正2,105,0,6086040.0,0.0,6086040.0,8573000.0,0.0,8573000.0,,,,,,,,call_inflow,認購偏多,
20260901,6472,保瑞,108,0,5079650.0,0.0,5079650.0,5547000.0,0.0,5547000.0,,pattern,型態觀察,,,,,call_inflow,認購偏多,
20260901,1513,中興電,67,0,5037870.0,0.0,5037870.0,6965000.0,0.0,6965000.0,,pattern,型態觀察,,,,,call_inflow,認購偏多,
20260901,1718,中纖,16,0,4229700.0,0.0,4229700.0,4697000.0,0.0,4697000.0,,range_rebound,區間內轉強 / 挑戰前高觀察,,,,,call_inflow,認購偏多,
