date,stock_id,stock_name,market,open,high,low,close,volume,volume_ma20_prev,start_day_volume_ratio_vs_prev20,prev_day_volume_ratio_vs_prev20,future_5d_high,future_5d_high_day_offset,future_5d_high_from_start_low_pct,next_open,signal_close_to_next_open_gap_pct,next_open_to_d5_high_return_pct,next_open_to_d10_high_return_pct,next_open_to_d20_high_return_pct,signal_day_close_return_pct,signal_day_high_from_low_pct
20260224,2254,巨鎧精密-創,TWSE,60.3,60.4,60.0,60.3,54548.0,125483.45,0.43470274366858735,0.37939707822032653,75.1,5,25.16666666666665,60.3,0.0,24.543946932006634,24.543946932006634,24.543946932006634,0.0,0.6666666666666599
20260225,2254,巨鎧精密-創,TWSE,60.3,61.5,60.3,61.5,64197.0,127960.65,0.5016932939931144,0.43470274366858735,75.1,4,24.543946932006634,62.2,1.1382113821138296,20.739549839228278,20.739549839228278,20.739549839228278,1.9900497512437942,1.9900497512437942
20260226,2254,巨鎧精密-創,TWSE,62.2,67.6,62.2,67.6,139695.0,122120.5,1.1439111369507986,0.5016932939931144,75.1,3,20.739549839228278,69.8,3.2544378698224907,7.59312320916905,7.59312320916905,7.59312320916905,8.681672025723453,8.681672025723453
20260414,2254,巨鎧精密-創,TWSE,68.8,68.9,68.5,68.9,14000.0,31198.75,0.448735926920149,0.370201146109765,85.2,5,24.379562043795634,68.9,0.0,23.65747460087082,35.99419448476051,35.99419448476051,0.14534883720931369,0.5839416058394331
20260415,2254,巨鎧精密-創,TWSE,68.9,69.9,68.9,69.8,20004.0,29948.65,0.6679432962754581,0.448735926920149,93.7,5,35.99419448476051,69.5,-0.42979942693409656,34.8201438848921,34.8201438848921,34.8201438848921,1.3062409288824295,1.4513788098693858
20260416,2254,巨鎧精密-創,TWSE,69.5,70.1,69.4,69.6,25154.0,28483.65,0.883103113540575,0.6679432962754581,93.7,4,35.01440922190202,69.9,0.4310344827586299,34.048640915593694,34.048640915593694,34.048640915593694,0.14388489208632116,1.0086455331411948
20260417,2254,巨鎧精密-創,TWSE,69.9,70.6,68.9,70.5,20649.0,27191.2,0.7594001000323634,0.883103113540575,93.7,3,35.99419448476051,70.7,0.28368794326241176,32.53182461103252,32.53182461103252,32.53182461103252,0.8583690987124415,2.467343976777925
20260420,2254,巨鎧精密-創,TWSE,70.7,77.5,70.7,77.5,141443.0,25573.55,5.530831660055018,0.7594001000323634,93.7,2,32.53182461103252,85.2,9.935483870967744,9.97652582159625,9.97652582159625,9.97652582159625,9.618104667609618,9.618104667609618
20260522,2254,巨鎧精密-創,TWSE,57.5,58.1,57.5,58.1,3121.0,32617.4,0.09568512511726869,1.22350584882106,70.9,5,23.304347826086968,58.5,0.688468158347666,21.19658119658121,21.19658119658121,21.19658119658121,1.043478260869568,1.043478260869568
20260525,2254,巨鎧精密-創,TWSE,58.5,58.5,58.5,58.5,1002.0,29957.3,0.03344760709409727,0.09568512511726869,70.9,4,21.19658119658121,58.5,0.0,21.19658119658121,21.19658119658121,21.19658119658121,0.0,0.0
