date,stock_id,stock_name,market,institutional_net_lots
20260521,6805,富世達,TWSE,117.855
20260521,3705,永信,TWSE,113.94
20260521,2010,春源,TWSE,112.966
20260521,5434,崇越,TWSE,111.272
20260521,2072,世紀風電,TWSE,110.759
20260521,00770,國泰北美科技,TWSE,110.436
20260521,1338,廣華-KY,TWSE,109.0
20260521,3027,盛達,TWSE,109.0
20260521,8072,陞泰,TWSE,107.791
20260521,1307,三芳,TWSE,107.07
20260521,2535,達欣工,TWSE,106.896
20260521,3311,閎暉,TWSE,106.244
20260521,3017,奇鋐,TWSE,104.697
20260521,1808,潤隆,TWSE,103.879
20260521,00717,富邦美國特別股,TWSE,103.0
20260521,2228,劍麟,TWSE,103.0
20260521,2611,志信,TWSE,103.0
20260521,4585,達明,TWSE,102.093
20260521,6585,鼎基,TWSE,99.0
20260521,1305,華夏,TWSE,98.301
20260521,4195,基米-創,TWSE,98.0
20260521,6534,正瀚-創,TWSE,93.656
20260521,00739,元大MSCI A股,TWSE,92.715
20260521,6861,睿生光電,TWSE,92.677
20260521,00737,國泰AI機器人,TWSE,92.369
20260521,8341,日友,TWSE,92.0
20260521,3447,展達,TWSE,92.0
20260521,7786,東方風能,TWSE,90.232
20260521,009802,富邦旗艦50,TWSE,88.468
20260521,2340,台亞,TWSE,88.2
20260521,5225,東科-KY,TWSE,87.801
20260521,00653,富邦印度正2,TWSE,86.453
20260521,5222,全訊,TWSE,85.008
20260521,5306,桂盟,TWSE,85.0
20260521,6472,保瑞,TWSE,83.688
20260521,8045,達運光電,TWSE,83.001
20260521,2527,宏璟,TWSE,81.861
20260521,7769,鴻勁,TWSE,81.857
20260521,00661,元大日經225,TWSE,81.847
20260521,2506,太設,TWSE,81.0
20260521,00903,富邦元宇宙,TWSE,80.158
20260521,1310,台苯,TWSE,79.853
20260521,009808,華南永昌優選50,TWSE,78.993
20260521,2059,川湖,TWSE,78.855
20260521,6885,全福生技,TWSE,78.0
20260521,00899,FT潔淨能源,TWSE,76.811
20260521,5876,上海商銀,TWSE,76.437
20260521,1587,吉茂,TWSE,76.066
20260521,00728,第一金工業30,TWSE,75.667
20260521,6598,ABC-KY,TWSE,75.0
20260521,6756,威鋒電子,TWSE,74.707
20260521,2480,敦陽科,TWSE,72.688
20260521,2468,華經,TWSE,70.999
20260521,2032,新鋼,TWSE,70.0
20260521,1218,泰山,TWSE,70.0
20260521,5515,建國,TWSE,68.144
20260521,6191,精成科,TWSE,67.954
20260521,9955,佳龍,TWSE,67.95
20260521,3419,譁裕,TWSE,67.0
20260521,2431,聯昌,TWSE,66.0
20260521,00901,永豐智能車供應鏈,TWSE,65.641
20260521,2597,潤弘,TWSE,65.6
20260521,2364,倫飛,TWSE,64.962
20260521,4566,時碩工業,TWSE,64.899
20260521,6277,宏正,TWSE,64.798
20260521,00913,兆豐台灣晶圓製造,TWSE,64.216
20260521,4755,三福化,TWSE,62.985
20260521,6491,晶碩,TWSE,62.836
20260521,9908,大台北,TWSE,62.827
20260521,1713,國化,TWSE,62.0
20260521,5531,鄉林,TWSE,62.0
20260521,00640,富邦日本正2,TWSE,60.235
20260521,2038,海光,TWSE,59.0
20260521,009800,中信NASDAQ,TWSE,58.798
20260521,6657,華安,TWSE,58.0
20260521,1455,集盛,TWSE,57.811
20260521,3557,嘉威,TWSE,57.0
20260521,1442,名軒,TWSE,56.699
20260521,2488,漢平,TWSE,54.996
20260521,00714,群益道瓊美國地產,TWSE,54.857
20260521,4590,富田-創,TWSE,52.965
20260521,2062,橋椿,TWSE,52.509
20260521,2908,特力,TWSE,52.0
20260521,4935,茂林-KY,TWSE,51.128
20260521,8478,東哥遊艇,TWSE,51.002
20260521,6931,青松健康,TWSE,51.0
20260521,6890,來億-KY,TWSE,50.461
20260521,2886,兆豐金,TWSE,50.163
20260521,2516,新建,TWSE,50.0
20260521,8442,威宏-KY,TWSE,50.0
20260521,006205,富邦上証,TWSE,49.161
20260521,1540,喬福,TWSE,49.0
20260521,1524,耿鼎,TWSE,48.0
20260521,6792,詠業,TWSE,47.965
20260521,00762,元大全球AI,TWSE,47.914
20260521,00908,富邦入息REITs+,TWSE,47.013
20260521,4942,嘉彰,TWSE,47.0
20260521,2007,燁興,TWSE,47.0
20260521,7821,神數,TWSE,46.006
20260521,00852,國泰美國道瓊正2,TWSE,45.08
20260521,1517,利奇,TWSE,44.983
20260521,1414,東和,TWSE,44.485
20260521,2929,淘帝-KY,TWSE,44.357
20260521,4571,鈞興-KY,TWSE,44.298
20260521,2102,泰豐,TWSE,44.0
20260521,9103,美德醫療-DR,TWSE,44.0
20260521,6165,浪凡,TWSE,44.0
20260521,1906,寶隆,TWSE,43.04
20260521,00709,富邦歐洲,TWSE,43.0
20260521,2015,豐興,TWSE,43.0
20260521,2069,運錩,TWSE,42.0
20260521,020034,元大IC設計N,TWSE,42.0
20260521,1527,鑽全,TWSE,42.0
20260521,2034,允強,TWSE,41.316
20260521,6806,森崴能源,TWSE,41.0
20260521,5519,隆大,TWSE,40.0
20260521,020030,統一智慧電動車N,TWSE,40.0
20260521,2231,為升,TWSE,39.397
20260521,1342,八貫,TWSE,39.329
20260521,7722,LINEPAY,TWSE,39.324
20260521,1506,正道,TWSE,39.0
20260521,00710,復華彭博非投等債,TWSE,38.489
20260521,1590,亞德客-KY,TWSE,37.788
20260521,2462,良得電,TWSE,37.77
20260521,6281,全國電,TWSE,36.672
20260521,2616,山隆,TWSE,36.516
20260521,4169,泰宗,TWSE,36.0
20260521,3494,誠研,TWSE,36.0
20260521,6698,旭暉應材,TWSE,36.0
20260521,3046,建碁,TWSE,36.0
