research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,model_id,source_event_key,stock_id,stock_name,signal_date,confirmation_date,entry_date,exit_date,return_pct,return_outcome,exit_reason,event_sequence_for_stock,all_events_overlap_pair_count_for_stock,first_event_per_stock_included,same_stock_non_overlap_included,same_stock_non_overlap_suppression_reason,suppressed_by_source_event_key,suppressed_by_entry_date,suppressed_by_exit_date,deep_low_120_le40,deep_low_240_le40,range60_le25,range120_le25,limit_up_like,consolidation_type,risk_type,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3694|20260519|20260520|next_day_break_signal_high_confirmed|20260521|20260603|71.2|69.4,3694,海華,20260519,20260520,20260521,20260603,-2.5281,loss,fixed_10d_close,4,4,False,True,,,,,True,True,True,False,False,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3694|20260520|20260521|next_day_break_signal_high_confirmed|20260522|20260528|70.7|66.6,3694,海華,20260520,20260521,20260522,20260528,-5.7992,loss,stop_signal_low,5,4,False,False,same_stock_active_position_overlap,3694|20260519|20260520|next_day_break_signal_high_confirmed|20260521|20260603|71.2|69.4,20260521,20260603,True,False,True,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3701|20251224|20251226|next_day_break_signal_high_confirmed|20251229|20260112|52.0|55.9,3701,大眾控,20251224,20251226,20251229,20260112,7.5,win,fixed_10d_close,1,0,True,True,,,,,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3702|20260316|20260317|next_day_break_signal_high_confirmed|20260318|20260331|91.8|88.0,3702,大聯大,20260316,20260317,20260318,20260331,-4.1394,loss,fixed_10d_close,1,1,True,True,,,,,False,False,False,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3702|20260317|20260318|next_day_break_signal_high_confirmed|20260319|20260401|92.6|89.9,3702,大聯大,20260317,20260318,20260319,20260401,-2.9158,loss,fixed_10d_close,2,1,False,False,same_stock_active_position_overlap,3702|20260316|20260317|next_day_break_signal_high_confirmed|20260318|20260331|91.8|88.0,20260318,20260331,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3704|20250828|20250829|next_day_break_signal_high_confirmed|20250901|20250918|34.0|36.5,3704,合勤控,20250828,20250829,20250901,20250918,7.3529,win,fixed_10d_close,1,0,True,True,,,,,False,False,True,False,False,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3704|20260521|20260522|pullback_5ma_confirmed|20260525|20260605|44.15|47.7,3704,合勤控,20260521,20260522,20260525,20260605,8.0408,win,fixed_10d_close,2,0,False,True,,,,,True,False,False,False,False,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3711|20251016|20251020|next_day_break_signal_high_confirmed|20251021|20251104|200.0|239.0,3711,日月光投控,20251016,20251020,20251021,20251104,19.5,win,fixed_10d_close,1,0,True,True,,,,,False,False,False,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3714|20260414|20260415|next_day_break_signal_high_confirmed|20260416|20260427|71.9|62.9,3714,富采,20260414,20260415,20260416,20260427,-12.5174,loss,stop_signal_low,1,0,True,True,,,,,False,False,False,False,True,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,3715|20250708|20250709|next_day_break_signal_high_confirmed|20250710|20250723|55.1|64.1,3715,定穎投控,20250708,20250709,20250710,20250723,16.3339,win,fixed_10d_close,1,1,True,True,,,,,False,False,False,False,False,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
