date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
20260316,27.9,27.9,26.4,27.05,140510,26.57,28.6125,27.3208,26.5424,27.9444,2.4621,6.7061,-15.6006,0.559,-5.4609,-25.2762
20260317,28.0,28.2,27.3,27.55,250879,26.92,28.355,27.3575,26.554,27.9115,1.8484,6.7829,-15.7492,1.0559,-2.839,-23.895
20260318,28.15,28.15,26.85,28.0,146407,27.16,28.1925,27.4017,26.5705,27.9189,1.6334,4.4776,-10.4,0.6549,-0.6828,-22.6519
20260319,27.9,28.1,27.4,27.5,145921,27.3,28.04,27.4408,26.5809,27.884,-1.7857,2.6119,-9.9836,0.6722,-1.9258,-24.0331
20260320,27.5,28.45,27.4,27.4,163255,27.5,27.905,27.4808,26.59,27.8436,-0.3636,3.7879,-8.9701,0.7485,-1.8097,-24.3094
20260323,27.05,27.45,26.5,27.0,112261,27.49,27.7975,27.5133,26.5945,27.7733,-1.4599,-0.1848,-7.3756,0.5503,-2.869,-25.4144
20260324,28.65,28.65,26.45,26.75,114625,27.33,27.665,27.5467,26.5962,27.6881,-0.9259,-2.9038,-9.0136,0.5865,-3.3074,-26.105
20260325,27.8,27.8,27.05,27.6,82706,27.25,27.5,27.5917,26.607,27.6807,3.1776,-1.4286,-10.6796,0.4439,0.3636,-23.7569
20260326,27.7,27.8,26.95,26.95,106208,27.14,27.3475,27.6258,26.6106,27.6198,-2.3551,-2.0,-10.1667,0.597,-1.4535,-25.5525
20260327,26.95,27.35,25.75,27.15,63681,27.09,27.2025,27.6642,26.6163,27.5807,0.7421,-0.9124,-9.6506,0.3828,-0.193,-25.0
20260330,26.5,27.1,26.35,27.1,120133,27.11,27.08,27.7033,26.6214,27.5406,-0.1842,0.3704,-8.291,0.745,0.0739,-25.1381
20260331,27.05,27.05,25.0,25.65,200283,26.89,26.92,27.7108,26.6113,27.3831,-5.3506,-4.1121,-11.0919,1.2762,-4.7177,-29.1436
20260401,26.0,26.75,25.85,25.85,68027,26.54,26.87,27.7242,26.6036,27.2553,0.7797,-6.3406,-3.7244,0.4775,-3.7961,-28.5912
20260402,25.9,26.0,25.6,25.7,58001,26.29,26.785,27.735,26.5944,27.1257,-0.5803,-4.6382,-6.2044,0.4265,-4.0508,-29.0055
20260407,25.75,25.75,25.3,25.5,72672,25.96,26.695,27.7442,26.5835,26.9902,-0.7782,-6.0773,-6.5934,0.5473,-4.4765,-29.558
20260408,26.25,26.9,25.3,26.45,93680,25.83,26.75,27.7633,26.5822,26.9452,3.7255,-2.3985,4.3393,0.7847,-1.1215,-26.9337
20260409,27.0,27.1,26.05,26.2,53293,25.94,26.77,27.78,26.5784,26.8831,-0.9452,2.1442,1.5504,0.4686,-2.1292,-27.6243
20260410,26.6,26.6,25.55,26.0,135914,25.97,26.73,27.7925,26.5728,26.8095,-0.7634,0.5803,-2.9851,1.1699,-2.731,-28.1768
20260413,26.1,26.15,25.3,25.8,111339,25.99,26.68,27.8025,26.5654,26.7254,-0.7692,0.3891,-3.7313,0.9557,-3.2984,-28.7293
20260414,28.2,28.2,26.2,27.15,269734,26.32,26.7175,27.8275,26.571,26.7608,5.2326,6.4706,2.8409,2.1497,1.6188,-25.0
20260415,28.55,28.8,27.15,27.4,322151,26.51,26.735,27.8442,26.5788,26.814,0.9208,3.5917,1.2939,2.3941,2.4874,-24.3094
20260416,27.6,27.75,26.8,27.2,134681,26.71,26.7175,27.8742,26.5846,26.8462,-0.7299,3.8168,-1.2704,1.0461,1.8059,-24.8619
20260417,27.45,28.15,27.25,27.6,167516,27.03,26.6975,27.9075,26.594,26.909,1.4706,6.1538,-1.4286,1.2905,3.3805,-23.7569
20260420,27.65,28.2,27.5,27.65,228604,27.4,26.705,27.9383,26.6037,26.9708,0.1812,7.1705,0.5455,1.7068,3.5387,-23.6188
20260421,28.05,30.4,27.6,30.4,678602,28.05,26.855,28.02,26.6382,27.2565,9.9458,11.9705,10.9489,4.2491,13.2005,-16.0221
20260422,31.5,32.95,30.95,31.95,1958291,28.96,27.1025,28.1225,26.686,27.6477,5.0987,16.6058,18.3333,7.7708,17.8858,-11.7403
20260423,31.95,31.95,29.0,30.15,805177,29.55,27.2725,28.195,26.717,27.8562,-5.6338,10.8456,12.7103,2.8101,10.5509,-16.7127
20260424,30.85,31.8,30.0,30.35,358615,30.1,27.41,28.2525,26.7491,28.064,0.6633,9.9638,9.9638,1.1941,10.726,-16.1602
20260427,30.3,31.7,28.8,30.05,558176,30.58,27.565,28.2858,26.7781,28.2295,-0.9885,8.6799,11.5028,1.7285,9.0151,-16.989
20260428,30.2,30.5,29.8,29.9,150865,30.48,27.7025,28.3175,26.8052,28.3687,-0.4992,-1.6447,10.1289,0.461,7.9325,-17.4033
20260429,30.85,32.85,30.75,32.85,650593,30.66,27.99,28.415,26.8573,28.7422,9.8662,2.8169,21.2177,1.8388,17.3633,-9.2541
20260430,33.1,35.6,31.7,32.2,2515450,31.07,28.3175,28.5042,26.903,29.0303,-1.9787,6.7993,25.5361,5.3569,13.7106,-11.0497
20260504,31.8,33.85,30.8,32.65,947720,31.53,28.6575,28.6042,26.9517,29.3319,1.3975,7.5783,26.3056,1.8454,13.9318,-9.8066
20260505,32.65,32.7,32.05,32.2,257274,31.96,28.9825,28.6908,26.9958,29.571,-1.3783,7.1547,25.2918,0.4914,11.1015,-11.0497
20260506,32.4,32.6,31.0,31.1,371029,32.2,29.2625,28.7517,27.03,29.6984,-3.4161,4.0134,21.9608,0.6891,6.2794,-14.0884
20260507,31.1,31.4,30.85,31.0,208508,31.83,29.49,28.7658,27.0779,29.8068,-0.3215,-5.6317,17.2023,0.3832,5.1204,-14.3646
20260508,30.5,30.65,28.9,29.6,428014,31.31,29.66,28.7292,27.1133,29.7896,-4.5161,-8.0745,12.9771,0.7604,-0.2023,-18.232
20260511,29.55,30.9,29.55,30.5,362678,30.88,29.885,28.7292,27.1558,29.8488,3.0405,-6.585,17.3077,0.6316,2.0579,-15.7459
20260512,30.6,30.6,29.65,30.0,217609,30.44,30.095,28.67,27.1942,29.8614,-1.6393,-6.8323,16.2791,0.3755,-0.3157,-17.1271
20260513,29.6,29.6,28.75,29.0,245905,30.02,30.1875,28.5892,27.2279,29.7896,-3.3333,-6.7524,6.814,0.4252,-3.9337,-18.5393
20260514,29.15,29.5,28.8,28.9,199657,29.6,30.2625,28.5367,27.2658,29.7155,-0.3448,-6.7742,5.4745,0.3489,-4.5023,-18.8202
