# PRICE_WINDOW_135

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_109=20260420,277.0,283.0,271.0,271.0,25391077,284.3,283.6286,280.85,289.7417,260.9083,-1.4545,-8.1356,-14.2405,1.0985,-4.4525,-3.5072,-18.6186

PRICE_WINDOW_180_ROW_110=20260421,274.5,282.0,269.0,281.0,26718859,280.3,283.4095,279.5,289.9167,261.0909,3.69,-6.6445,-8.7662,1.2121,-0.8502,0.5367,-15.6156

PRICE_WINDOW_180_ROW_111=20260422,280.0,289.5,277.0,287.5,24583028,279.6,283.7504,279.575,290.2,261.3288,2.3132,-1.2027,0.5245,1.1112,1.3214,2.8347,-13.6637

PRICE_WINDOW_180_ROW_112=20260423,293.0,303.0,272.0,277.5,55713491,278.4,283.2295,279.525,290.3667,261.4732,-3.4783,-2.1164,-0.3591,2.3124,-2.0229,-0.7244,-16.6667

PRICE_WINDOW_180_ROW_113=20260424,284.0,291.0,274.0,286.0,36880960,280.6,283.4604,279.4,290.575,261.6903,3.0631,4.0,-0.8666,1.4632,0.8959,2.3622,-14.1141

PRICE_WINDOW_180_ROW_114=20260427,292.0,296.0,279.0,283.5,32859139,283.1,283.4637,279.175,290.775,261.8816,-0.8741,4.6125,-1.5625,1.2611,0.0128,1.5492,-14.8649

PRICE_WINDOW_180_ROW_115=20260428,288.0,290.0,282.0,283.5,25169719,283.6,283.4667,279.425,290.925,262.0696,0.0,0.8897,1.7953,0.9543,0.0117,1.4584,-14.8649

PRICE_WINDOW_180_ROW_116=20260429,281.5,287.5,272.5,283.5,32863838,282.8,283.4695,280.0,291.2,262.2543,0.0,-1.3913,4.2279,1.2102,0.0108,1.25,-14.8649

PRICE_WINDOW_180_ROW_117=20260430,287.0,311.0,286.5,302.5,71863037,287.8,285.0554,282.075,291.6667,262.5983,6.7019,9.009,15.9004,2.4165,6.1197,7.241,-9.1592

PRICE_WINDOW_180_ROW_118=20260504,328.5,332.5,324.5,332.5,30326432,297.1,289.0091,284.675,292.4333,263.1907,9.9174,16.2587,18.5383,1.0025,15.0483,16.7999,-0.1502

PRICE_WINDOW_180_ROW_119=20260505,341.0,364.5,341.0,354.0,60762678,311.2,294.425,289.425,293.375,263.9538,6.4662,24.8677,36.6795,1.9083,20.2344,22.3115,-2.8807

PRICE_WINDOW_180_ROW_120=20260506,362.0,362.5,325.0,328.5,57121125,320.2,297.2646,292.45,293.85,264.4917,-7.2034,15.873,22.5746,1.6789,10.5076,12.3269,-9.8765

PRICE_WINDOW_180_ROW_121=20260507,332.5,343.5,327.0,339.0,30225784,331.3,300.7425,295.4,294.3167,265.45,3.1963,19.5767,21.0714,0.8706,12.721,14.7596,-6.9959

PRICE_WINDOW_180_ROW_122=20260508,336.0,341.0,306.5,311.0,40147269,333.0,301.5973,297.2,294.4167,266.2583,-8.2596,2.8099,13.0909,1.119,3.1176,4.6433,-14.6776

PRICE_WINDOW_180_ROW_123=20260511,316.0,316.0,294.0,299.5,63413896,326.4,301.4225,298.3,294.475,266.9167,-3.6977,-9.9248,7.9279,1.65,-0.6378,0.4023,-17.8326

PRICE_WINDOW_180_ROW_124=20260512,302.5,302.5,295.0,301.0,41675314,315.8,301.3873,298.6,294.7417,267.6125,0.5008,-14.9718,2.0339,1.082,-0.1285,0.8038,-17.4211

