# PRICE_WINDOW_136

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_076=20260302,1700.0,1760.0,1690.0,1700.0,2035769,1706.0,1579.75,1403.5833,1376.5132,1577.1577,-4.2254,3.3435,27.8195,0.9452,7.612,-9.5745

PRICE_WINDOW_180_ROW_077=20260303,1710.0,1725.0,1640.0,1660.0,1969003,1713.0,1589.75,1411.25,1380.1948,1584.0612,-2.3529,2.1538,13.6986,0.9262,4.4189,-11.7021

PRICE_WINDOW_180_ROW_078=20260304,1605.0,1605.0,1495.0,1495.0,2523790,1685.0,1592.0,1415.6667,1381.6667,1576.6394,-9.9398,-8.5627,3.1034,1.1629,-6.093,-20.4787

PRICE_WINDOW_180_ROW_079=20260305,1555.0,1605.0,1540.0,1585.0,1305259,1643.0,1597.25,1420.3333,1384.2405,1577.3361,6.0201,-11.6992,7.0946,0.6185,-0.7669,-15.6915

PRICE_WINDOW_180_ROW_080=20260306,1560.0,1595.0,1550.0,1565.0,654084,1601.0,1600.5,1424.5833,1386.5,1576.3081,-1.2618,-11.831,4.3333,0.3156,-2.2181,-16.7553

PRICE_WINDOW_180_ROW_081=20260309,1460.0,1510.0,1430.0,1510.0,1474658,1563.0,1600.75,1428.5,1388.0247,1570.7825,-3.5144,-11.1765,0.3322,0.717,-5.6692,-19.6809

PRICE_WINDOW_180_ROW_082=20260310,1575.0,1620.0,1525.0,1575.0,1616087,1546.0,1606.5,1433.5,1390.3049,1571.1339,4.3046,-5.1205,7.8767,0.7771,-1.9608,-16.2234

PRICE_WINDOW_180_ROW_083=20260311,1600.0,1710.0,1600.0,1690.0,2077522,1585.0,1619.5,1440.4167,1393.9157,1581.0394,7.3016,13.0435,18.1818,0.9831,4.3532,-10.1064

PRICE_WINDOW_180_ROW_084=20260312,1720.0,1815.0,1720.0,1805.0,2760527,1629.0,1636.75,1449.4167,1398.8095,1599.7028,6.8047,13.8801,23.6301,1.2853,10.2795,-3.9894

PRICE_WINDOW_180_ROW_085=20260313,1800.0,1825.0,1725.0,1750.0,2986166,1666.0,1644.0,1457.4167,1402.9412,1612.2276,-3.0471,11.8211,9.0343,1.424,6.4477,-6.9149

PRICE_WINDOW_180_ROW_086=20260316,1765.0,1770.0,1660.0,1685.0,1433068,1701.0,1644.75,1464.3333,1406.2209,1618.2919,-3.7143,11.5894,0.8982,0.7269,2.4472,-10.3723

PRICE_WINDOW_180_ROW_087=20260317,1695.0,1840.0,1690.0,1820.0,2720932,1750.0,1657.25,1472.9167,1410.977,1635.1009,8.0119,15.5556,15.9236,1.3668,9.8205,-3.1915

PRICE_WINDOW_180_ROW_088=20260318,1850.0,1990.0,1850.0,1915.0,3442788,1795.0,1673.25,1482.4167,1416.7045,1658.4259,5.2198,13.3136,20.0627,1.6592,14.4479,-3.7688

PRICE_WINDOW_180_ROW_089=20260319,1890.0,2030.0,1890.0,2030.0,2712873,1840.0,1694.25,1494.1667,1423.5955,1689.3904,6.0052,12.4654,26.087,1.3122,19.817,0.0

PRICE_WINDOW_180_ROW_090=20260320,2020.0,2190.0,1965.0,2065.0,2482870,1903.0,1716.25,1506.9167,1430.7222,1720.6912,1.7241,18.0,27.0769,1.1792,20.3205,-5.7078

PRICE_WINDOW_180_ROW_091=20260323,2010.0,2030.0,1940.0,1985.0,2189650,1963.0,1733.25,1518.5833,1436.8132,1742.7169,-3.8741,17.8042,20.6687,1.022,14.5247,-9.3607

PRICE_WINDOW_180_ROW_092=20260324,2030.0,2045.0,1945.0,1955.0,1646711,1990.0,1749.75,1529.8333,1442.4457,1760.4072,-1.5113,7.4176,20.3077,0.7701,11.7302,-10.7306

PRICE_WINDOW_180_ROW_093=20260325,2040.0,2150.0,2030.0,2150.0,2971773,2037.0,1775.5,1543.75,1450.0538,1792.8732,9.9744,12.2715,31.4985,1.3235,21.0926,-1.8265

PRICE_WINDOW_180_ROW_094=20260326,2220.0,2295.0,2195.0,2270.0,2887477,2085.0,1799.25,1560.1667,1458.7766,1832.6338,5.5814,11.8227,26.4624,1.287,26.1637,-1.0893

PRICE_WINDOW_180_ROW_095=20260327,2230.0,2275.0,2140.0,2260.0,1881243,2124.0,1823.5,1576.0833,1467.2105,1868.2477,-0.4405,9.4431,27.3239,0.8596,23.9375,-1.5251

PRICE_WINDOW_180_ROW_096=20260330,2180.0,2230.0,2150.0,2220.0,2251377,2171.0,1849.5,1591.1667,1475.0521,1897.5603,-1.7699,11.8388,30.5882,1.0236,20.0324,-3.268

PRICE_WINDOW_180_ROW_097=20260331,2175.0,2185.0,2010.0,2050.0,3646301,2190.0,1869.0,1603.75,1480.9794,1910.2637,-7.6577,4.8593,23.494,1.597,9.6843,-10.6754

PRICE_WINDOW_180_ROW_098=20260401,2150.0,2170.0,2090.0,2125.0,2571867,2185.0,1900.5,1617.4167,1487.551,1928.1583,3.6585,-1.1628,42.1405,1.1252,11.8127,-7.4074

PRICE_WINDOW_180_ROW_099=20260402,2180.0,2190.0,2035.0,2045.0,1259571,2140.0,1923.5,1630.0,1493.1818,1937.8952,-3.7647,-9.9119,29.0221,0.5516,6.3166,-10.8932

PRICE_WINDOW_180_ROW_100=20260407,2095.0,2120.0,2025.0,2030.0,1677658,2094.0,1946.75,1642.25,1498.55,1945.5706,-0.7335,-10.177,29.7125,0.7186,4.2764,-11.5468

PRICE_WINDOW_180_ROW_101=20260408,2145.0,2230.0,2135.0,2230.0,1620662,2096.0,1982.75,1657.9167,1505.7921,1969.273,9.8522,0.4505,47.6821,0.692,12.4701,-2.8322

PRICE_WINDOW_180_ROW_102=20260409,2385.0,2385.0,2265.0,2310.0,1398947,2148.0,2019.5,1674.8333,1513.6765,1997.6669,3.5874,12.6829,46.6667,0.6001,14.3847,-3.1447

PRICE_WINDOW_180_ROW_103=20260410,2400.0,2400.0,2260.0,2270.0,1164356,2177.0,2048.5,1691.0833,1521.0194,2020.3613,-1.7316,6.8235,34.3195,0.5095,10.8128,-5.4167

PRICE_WINDOW_180_ROW_104=20260413,2235.0,2280.0,2225.0,2250.0,890252,2218.0,2070.75,1707.4167,1528.0288,2039.4979,-0.8811,10.0244,24.6537,0.4062,8.6563,-6.25

PRICE_WINDOW_180_ROW_105=20260414,2300.0,2340.0,2220.0,2225.0,784222,2257.0,2094.5,1723.1667,1534.6667,2054.9564,-1.1111,9.6059,27.1429,0.3767,6.2306,-7.2917

PRICE_WINDOW_180_ROW_106=20260415,2295.0,2435.0,2280.0,2375.0,1774965,2286.0,2129.0,1740.3333,1542.5943,2081.6267,6.7416,6.5022,40.9496,0.8457,11.5547,-2.4641

PRICE_WINDOW_180_ROW_107=20260416,2430.0,2510.0,2380.0,2510.0,1689602,2326.0,2163.5,1758.75,1551.6355,2117.3245,5.6842,8.658,37.9121,0.8253,16.0157,0.0

PRICE_WINDOW_180_ROW_108=20260417,2515.0,2525.0,2440.0,2490.0,709688,2370.0,2192.25,1776.75,1560.3241,2148.3808,-0.7968,9.6916,30.0261,0.3714,13.5819,-1.3861

PRICE_WINDOW_180_ROW_109=20260420,2630.0,2730.0,2580.0,2625.0,2224102,2445.0,2222.0,1796.6667,1570.0917,2188.099,5.4217,16.6667,29.3103,1.1792,18.1368,-3.8462

PRICE_WINDOW_180_ROW_110=20260421,2650.0,2670.0,2530.0,2635.0,1351914,2527.0,2250.5,1817.9167,1579.7727,2225.3408,0.381,18.427,27.6029,0.7389,17.0851,-3.4799

PRICE_WINDOW_180_ROW_111=20260422,2635.0,2730.0,2600.0,2650.0,1099768,2582.0,2283.75,1838.9167,1589.4144,2260.7291,0.5693,11.5789,33.5013,0.6195,16.0372,-2.9304

PRICE_WINDOW_180_ROW_112=20260423,2665.0,2685.0,2385.0,2460.0,2810225,2572.0,2309.0,1857.0,1597.1875,2277.335,-7.1698,-1.992,25.8312,1.5329,6.5396,-9.8901

PRICE_WINDOW_180_ROW_113=20260424,2605.0,2650.0,2485.0,2520.0,2385346,2578.0,2327.5,1876.1667,1605.354,2297.5571,2.439,1.2048,17.2093,1.3223,8.2707,-7.6923

PRICE_WINDOW_180_ROW_114=20260427,2550.0,2760.0,2510.0,2710.0,2524711,2595.0,2349.5,1897.5,1615.0439,2331.9273,7.5397,3.2381,19.3833,1.4137,15.3437,-1.8116

PRICE_WINDOW_180_ROW_115=20260428,2740.0,2740.0,2610.0,2670.0,1020578,2602.0,2370.0,1918.25,1624.2174,2360.1,-1.476,1.3283,18.1416,0.5856,12.6582,-3.2609

PRICE_WINDOW_180_ROW_116=20260429,2690.0,2700.0,2630.0,2650.0,717179,2602.0,2391.5,1940.25,1633.0603,2384.2584,-0.7491,0.0,19.3694,0.4305,10.8091,-3.9855

PRICE_WINDOW_180_ROW_117=20260430,2700.0,2790.0,2615.0,2615.0,1133861,2633.0,2419.75,1959.5,1641.453,2403.4868,-1.3208,6.3008,27.561,0.736,8.069,-6.2724

PRICE_WINDOW_180_ROW_118=20260504,2695.0,2730.0,2525.0,2610.0,1613113,2651.0,2444.0,1978.8333,1649.661,2420.6963,-0.1912,3.5714,22.8235,1.0808,6.7921,-6.4516

PRICE_WINDOW_180_ROW_119=20260505,2625.0,2630.0,2430.0,2490.0,2178757,2607.0,2466.25,1995.6667,1656.7227,2426.4716,-4.5977,-8.1181,21.7604,1.4162,0.963,-10.7527

PRICE_WINDOW_180_ROW_120=20260506,2610.0,2735.0,2530.0,2735.0,2293213,2620.0,2501.5,2016.25,1665.7083,2452.1823,9.8394,2.4345,34.7291,1.4613,9.3344,-1.9713

PRICE_WINDOW_180_ROW_121=20260507,2850.0,2955.0,2800.0,2850.0,2271687,2660.0,2532.5,2038.6667,1677.7083,2485.3338,4.2048,7.5472,27.8027,1.4182,12.537,-3.5533

PRICE_WINDOW_180_ROW_122=20260508,2850.0,2850.0,2675.0,2700.0,1770467,2677.0,2552.0,2059.3333,1688.5417,2503.2226,-5.2632,3.2505,16.8831,1.0926,5.7994,-8.6294

PRICE_WINDOW_180_ROW_123=20260511,2680.0,2870.0,2655.0,2845.0,2086596,2724.0,2580.75,2082.9167,1700.7917,2531.7041,5.3704,9.0038,25.3304,1.2521,10.2393,-3.7225

PRICE_WINDOW_180_ROW_124=20260512,2815.0,2905.0,2800.0,2800.0,1299208,2786.0,2608.25,2105.25,1712.5833,2554.062,-1.5817,12.4498,24.4444,0.7701,7.3517,-5.2453

PRICE_WINDOW_180_ROW_125=20260513,2700.0,2745.0,2545.0,2595.0,4409695,2758.0,2626.75,2121.75,1723.0,2557.4735,-7.3214,-5.1188,16.6292,2.3604,-1.2087,-12.1827

PRICE_WINDOW_180_ROW_126=20260514,2600.0,2625.0,2360.0,2450.0,3110455,2678.0,2630.5,2134.75,1731.875,2548.5174,-5.5877,-14.0351,3.1579,1.6075,-6.8618,-17.0897

PRICE_WINDOW_180_ROW_127=20260515,2450.0,2460.0,2280.0,2330.0,2594455,2604.0,2621.5,2147.4167,1740.5,2530.3076,-4.898,-13.7037,-7.1713,1.3102,-11.1196,-21.1506

PRICE_WINDOW_180_ROW_128=20260518,2310.0,2335.0,2225.0,2325.0,1201678,2500.0,2613.25,2159.5833,1749.4583,2513.1987,-0.2146,-18.2777,-6.6265,0.5994,-11.0303,-21.3198

PRICE_WINDOW_180_ROW_129=20260519,2315.0,2360.0,2235.0,2325.0,1344252,2405.0,2598.25,2171.5,1758.4583,2497.5154,0.0,-16.9643,-11.4286,0.6855,-10.5167,-21.3198

