as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260313,1805,8,"40,001-50,000",22,1016100,0.75
20260313,1805,9,"50,001-100,000",73,5419028,4.01
20260313,1805,10,"100,001-200,000",28,4000885,2.96
20260313,1805,11,"200,001-400,000",23,6374550,4.72
20260313,1805,12,"400,001-600,000",11,5547660,4.11
20260313,1805,13,"600,001-800,000",4,2821000,2.09
20260313,1805,14,"800,001-1,000,000",3,2799948,2.07
20260313,1805,15,"1,000,001以上",21,93154461,69.01
20260313,1805,16,合　計,9524,134970455,100.0
20260320,1805,1,1-999,6784,848678,0.62
20260320,1805,2,"1,000-5,000",1916,3665433,2.71
20260320,1805,3,"5,001-10,000",277,2150184,1.59
20260320,1805,4,"10,001-15,000",126,1632975,1.2
20260320,1805,5,"15,001-20,000",65,1163818,0.86
20260320,1805,6,"20,001-30,000",96,2443125,1.81
20260320,1805,7,"30,001-40,000",51,1835603,1.36
20260320,1805,8,"40,001-50,000",24,1110107,0.82
20260320,1805,9,"50,001-100,000",72,5391028,3.99
20260320,1805,10,"100,001-200,000",29,4205122,3.11
20260320,1805,11,"200,001-400,000",22,6133313,4.54
20260320,1805,12,"400,001-600,000",11,5547660,4.11
20260320,1805,13,"600,001-800,000",4,2840000,2.1
20260320,1805,14,"800,001-1,000,000",3,2799948,2.07
20260320,1805,15,"1,000,001以上",21,93203461,69.05
20260320,1805,16,合　計,9501,134970455,100.0
20260327,1805,1,1-999,6798,859392,0.63
20260327,1805,2,"1,000-5,000",1940,3674060,2.72
20260327,1805,3,"5,001-10,000",273,2119155,1.57
20260327,1805,4,"10,001-15,000",125,1623094,1.2
20260327,1805,5,"15,001-20,000",67,1207865,0.89
20260327,1805,6,"20,001-30,000",95,2430483,1.8
20260327,1805,7,"30,001-40,000",51,1821303,1.34
20260327,1805,8,"40,001-50,000",23,1056107,0.78
20260327,1805,9,"50,001-100,000",76,5629316,4.17
20260327,1805,10,"100,001-200,000",29,4289987,3.17
20260327,1805,11,"200,001-400,000",22,6125313,4.53
20260327,1805,12,"400,001-600,000",11,5426971,4.02
20260327,1805,13,"600,001-800,000",5,3369000,2.49
20260327,1805,14,"800,001-1,000,000",3,2799948,2.07
20260327,1805,15,"1,000,001以上",21,92538461,68.56
20260327,1805,16,合　計,9539,134970455,100.0
20260402,1805,1,1-999,6796,858661,0.63
20260402,1805,2,"1,000-5,000",1939,3676612,2.72
20260402,1805,3,"5,001-10,000",277,2161790,1.6
20260402,1805,4,"10,001-15,000",124,1611421,1.19
20260402,1805,5,"15,001-20,000",66,1189818,0.88
20260402,1805,6,"20,001-30,000",98,2504749,1.85
20260402,1805,7,"30,001-40,000",50,1791803,1.32
20260402,1805,8,"40,001-50,000",23,1065107,0.78
20260402,1805,9,"50,001-100,000",77,5709125,4.22
20260402,1805,10,"100,001-200,000",30,4424987,3.27
20260402,1805,11,"200,001-400,000",22,6152313,4.55
20260402,1805,12,"400,001-600,000",10,4977660,3.68
20260402,1805,13,"600,001-800,000",5,3432000,2.54
20260402,1805,14,"800,001-1,000,000",3,2804948,2.07
20260402,1805,15,"1,000,001以上",21,92609461,68.61
20260402,1805,16,合　計,9541,134970455,100.0
20260410,1805,1,1-999,6785,857159,0.63
20260410,1805,2,"1,000-5,000",1924,3648519,2.7
20260410,1805,3,"5,001-10,000",276,2153576,1.59
