rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,abm_score,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,risk_label,risk_bucket,interpretation
41,3714,富采,other electronics,mainstream_leader,high,245.00,8,True,True,insufficient_price_context,overheated,0.00,9.25,30.28,8.88,8.31,0.85,10.00,563.41,10.00,73.00,0.00,1.41,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
42,5009,榮剛,other,single_name_signal,high,245.00,8,True,True,tdcc_leading_price,quiet_accumulation,89.00,-5.40,4.72,1.52,-0.09,0.90,10.00,279.39,10.00,28.00,0.00,-0.61,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
43,6508,惠光,biotechnology,mainstream_leader,high,245.00,8,True,True,tdcc_leading_price,quiet_accumulation,96.00,-0.76,1.56,0.50,-0.49,0.56,10.00,126.49,10.00,14.00,0.00,0.49,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
44,6756,威鋒電子,other electronics,mainstream_leader,high,245.00,8,True,True,tdcc_leading_price,quiet_accumulation,91.00,1.63,8.11,-0.33,0.97,0.60,10.00,563.41,10.00,73.00,0.00,1.41,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
45,7820,立盈,other,single_name_signal,high,245.00,8,True,True,tdcc_leading_price,strong_momentum,75.00,-0.41,21.00,0.36,4.24,1.13,10.00,279.39,10.00,28.00,0.00,-0.61,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
46,4192,杏國,other,single_name_signal,high,240.00,14,False,False,insufficient_price_context,watch_only,45.00,,,,,,10.00,279.39,10.00,28.00,0.00,-0.61,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
47,1236,宏亞,other,single_name_signal,high,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,100.00,0.00,4.07,-0.55,0.95,1.05,10.00,279.39,10.00,28.00,0.00,-0.61,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
48,1474,弘裕,traditional industries,mainstream_leader,high,235.00,7,True,True,tdcc_leading_price,quiet_accumulation,91.00,-0.99,-1.96,-0.53,-0.46,1.34,10.00,389.02,10.00,43.00,0.00,1.02,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
49,1528,恩德,other electronics,mainstream_leader,high,235.00,7,True,True,tdcc_leading_price,watch_only,58.00,5.11,13.33,-0.36,3.87,1.09,10.00,563.41,10.00,73.00,0.00,1.41,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
50,2014,中鴻,traditional industries,mainstream_leader,high,235.00,7,True,True,tdcc_leading_price,watch_only,66.00,-2.57,2.71,-0.55,-0.92,0.68,10.00,389.02,10.00,43.00,0.00,1.02,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
