signal_date,stock_id,stock_name,category,category_cn,theme_name,theme_final_status,theme_structural_status,theme_mainstream_label,report_line_memberships,mainstream_report_eligible,non_mainstream_report_eligible,dual_report_membership_flag,report_line_membership_note,candidate_source_type,candidate_line,candidate_line_group,two_line_overlap_flag,presentation_priority,model_score,tdcc_status,warrant_flow_signal,volume_ratio,return_20d,repeat_appear_label,downgrade_flags,why_selected,why_downgraded,next_confirmation,theme_leadership_note
20260713,2363,矽統,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,call_inflow,0.44,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,2375,凱美,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,no_signal,0.71,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,2383,台光電,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,call_inflow,0.88,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,2476,鉅祥,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,no_signal,0.56,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,2915,潤泰全,pattern,型態觀察,貿易百貨,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.86,,repeated_but_no_breakout,,,,,mainstream_leader；型態觀察
20260713,3303,岱稜,pattern,型態觀察,其他電子業,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.73,,continued_2_3d,,,,,mainstream_overheated；型態觀察
20260713,4952,凌通,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.47,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,4973,廣穎電通,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.58,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,4976,佳凌,pattern,型態觀察,光電業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.41,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,5536,聖暉*,pattern,型態觀察,其他電子業,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,1.11,,repeated_but_no_breakout,,,,,mainstream_overheated；型態觀察
20260713,6166,凌華,pattern,型態觀察,電腦及週邊設備業,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,no_signal,0.57,,stale_signal,,,,,mainstream_follow_through；型態觀察
20260713,6274,台燿,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.65,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,6284,佳邦,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.63,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,6432,今展科,pattern,型態觀察,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.44,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,7777,能率亞洲,pattern,型態觀察,其他,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.25,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,8028,昇陽半導體,pattern,型態觀察,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,no_signal,0.72,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,8255,朋程,pattern,型態觀察,電機機械,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,型態觀察,individual_pattern_watch,False,,35.0,,,0.54,,stale_signal,,,,,mainstream_overheated；型態觀察
20260713,4106,雃博,true_breakout,嚴格突破,生技醫療業,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active,,,,,,individual_quality_candidate,帶量突破 / 嚴格突破,breakout_attack_stock,False,,151.0,,,6.7,,first_seen,,,,,mainstream_leader；帶量突破 / 嚴格突破
