entry_basis,target_window,target_return_pct,filter_metric,filter_rule,threshold,selected_stock_days,hit_stock_days,hit_rate_pct,median_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,median_signal_close_to_next_open_gap_pct,selected_unique_stocks,hit_unique_stocks,coverage_of_all_hits_pct,base_hit_rate_pct
D+1_open,D+20,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,138559,48791,35.21,5.86,0.39,0.11,1966,1689,62.88,35.34
D+1_open,D+20,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1,1.0,98456,35835,36.4,6.11,0.42,0.12,1965,1657,46.19,35.34
D+1_open,D+20,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,66767,25605,38.35,6.55,0.47,0.14,1963,1589,33.0,35.34
D+1_open,D+20,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,37435,15608,41.69,7.46,0.56,0.2,1952,1441,20.12,35.34
D+1_open,D+20,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=2,2.0,16339,7263,44.45,8.29,0.66,0.23,1721,1116,9.36,35.34
D+1_open,D+20,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=3,3.0,3998,1822,45.57,8.52,0.7,0.2,1000,593,2.35,35.34
D+1_open,D+20,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=5,5.0,406,169,41.63,7.45,0.72,0.11,286,129,0.22,35.34
D+1_open,D+20,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,197156,68966,34.98,5.88,0.36,0.11,1968,1712,88.89,35.34
D+1_open,D+20,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,141332,49709,35.17,5.87,0.36,0.1,1966,1688,64.07,35.34
D+1_open,D+20,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1,1.0,98452,35824,36.39,6.13,0.38,0.11,1963,1653,46.17,35.34
D+1_open,D+20,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,64577,24938,38.62,6.61,0.42,0.13,1963,1585,32.14,35.34
D+1_open,D+20,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,33632,14179,42.16,7.6,0.49,0.17,1938,1373,18.27,35.34
D+1_open,D+20,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=2,2.0,12771,5767,45.16,8.48,0.58,0.21,1566,967,7.43,35.34
D+1_open,D+20,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=3,3.0,1506,652,43.29,8.12,0.58,0.16,427,242,0.84,35.34
D+1_open,D+20,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=5,5.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,35.34
