rule_name,rule_family,source_type,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,top_theme_status_counts,sample_status
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+2,D+1_open,10.0,1719,199,11.58,1.98,291,122,2.99,4.43,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+2,D+1_open,10.0,1817,209,11.5,2.08,276,117,3.07,4.47,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+2,D+1_open,10.0,648,72,11.11,0.72,187,51,2.73,4.14,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+2,D+1_open,10.0,813,83,10.21,0.83,229,60,2.62,4.01,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+2,D+1_open,10.0,60,6,10.0,0.06,28,5,3.24,4.18,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+2,D+1_open,10.0,14368,1277,8.89,12.7,1708,611,2.13,3.67,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+2,D+1_open,10.0,12170,1042,8.56,10.36,1663,533,2.08,3.62,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+2,D+1_open,10.0,317,23,7.26,0.23,92,18,2.22,3.53,0.75,100.0,strong_bull=236; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=232; mainstream_overheated=61; mainstream_supported=21; non_mainstream=3,ok_initial_sample
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+2,D+1_open,10.0,634,38,5.99,0.38,98,18,1.98,3.16,0.52,21.45,strong_bull=534; mild_bull=100,mainstream_supported=634,provisional_latest_theme_label
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+2,D+1_open,10.0,7,0,0.0,0.0,2,0,1.21,1.43,-0.56,100.0,strong_bull=5; mild_bull=1; range_or_unclear=1,non_mainstream=7,insufficient_sample
