trade_date,stock_id,stock_name,theme,surge_precondition_score,surge_watch_label,reason_summary,risk_flags
20260527,5230,雷笛克光學,other,57.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,5410,國眾,other,57.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,5905,南仁湖,other,57.0,D_weak_or_insufficient,TDCC領先股價,
20260527,6104,創惟,other,57.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,6176,瑞儀,other,57.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,6179,亞通,other,57.0,D_weak_or_insufficient,靠近MA20,
20260527,6585,鼎基,other,57.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,8437,大地-KY,other,57.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,9934,成霖,other,57.0,D_weak_or_insufficient,靠近MA20,
20260527,9944,新麗,other,57.0,D_weak_or_insufficient,靠近MA20,
20260527,1210,大成,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,1216,統一,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,1314,中石化,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,1444,力麗,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,1447,力鵬,other,55.0,D_weak_or_insufficient,靠近MA20,
20260527,1474,弘裕,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,1535,中宇,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,1714,和桐,other,55.0,D_weak_or_insufficient,靠近MA20,
20260527,2008,高興昌,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2013,中鋼構,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2368,金像電,other,55.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,2405,輔信,other,55.0,D_weak_or_insufficient,靠近MA20,
20260527,2609,陽明,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2611,志信,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2643,捷迅,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2722,夏都,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2836,高雄銀,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2887,台新新光金,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2910,統領,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2926,誠品生活,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2929,淘帝-KY,other,55.0,C_too_hot,TDCC領先股價；風險:too_hot_or_overextended,too_hot_or_overextended
20260527,3047,訊舟,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,3231,緯創,other,55.0,D_weak_or_insufficient,靠近MA20,
20260527,3252,海灣,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,3550,聯穎,other,55.0,D_weak_or_insufficient,TDCC領先股價,
20260527,4107,邦特,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,4190,佐登-KY,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,4532,瑞智,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,4552,力達-KY,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,4580,捷流閥業,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,4706,大恭,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,4767,誠泰科技,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,4915,致伸,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,4935,茂林-KY,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,4938,和碩,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,4976,佳凌,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,6189,豐藝,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,6192,巨路,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,6414,樺漢,other,55.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,6527,明達醫,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,6592,和潤企業,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,6661,威健生技,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,6722,輝創,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,8481,政伸,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,9902,台火,other,55.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,9911,櫻花,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,9933,中鼎,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,9937,全國,other,55.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2022,聚亨,other,53.0,D_weak_or_insufficient,quiet_accumulation；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2851,中再保,other,53.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,3706,神達,other,53.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,4142,國光生,other,53.0,D_weak_or_insufficient,quiet_accumulation；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,8473,山林水,other,53.0,C_too_hot,量能溫和；風險:too_hot_or_overextended,too_hot_or_overextended
20260527,3583,辛耘,other,52.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20,
20260527,6464,台數科,other,52.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20；風險:failed_breakout,failed_breakout
20260527,6578,達邦蛋白,other,52.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20,
20260527,6620,漢達,other,52.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20,
20260527,6804,明係,other,52.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20；風險:failed_breakout,failed_breakout
20260527,8147,正淩,other,52.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20,
20260527,8931,大汽電,other,52.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20；風險:failed_breakout,failed_breakout
20260527,8932,智通*,other,52.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20,
20260527,2351,順德,other,51.0,C_too_hot,TDCC領先股價；量能溫和；風險:too_hot_or_overextended,too_hot_or_overextended
20260527,6202,盛群,other,50.0,D_weak_or_insufficient,quiet_accumulation；量能溫和,
20260527,1563,巧新,other,48.0,C_too_hot,quiet_accumulation；量能溫和；風險:too_hot_or_overextended,too_hot_or_overextended
20260527,2442,新美齊,other,48.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2515,中工,other,48.0,D_weak_or_insufficient,靠近MA20；量能溫和,
20260527,2546,根基,other,48.0,D_weak_or_insufficient,靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,2646,星宇航空,other,48.0,D_weak_or_insufficient,靠近MA20；量能溫和；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,1203,味王,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,1325,恆大,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,1336,台翰,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,1413,宏洲,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,1432,大魯閣,other,47.0,D_weak_or_insufficient,靠近MA20,
