# PRICE_WINDOW_155

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_112=20260422,10.05,10.1,10.05,10.05,134000.0,10.11,10.3037,10.27,10.8258,10.5995,-0.495,-0.9852,-6.0748,0.5601,-2.4621,-2.1422,-18.2927

PRICE_WINDOW_180_ROW_113=20260423,10.1,10.1,9.88,9.99,482000.0,10.078,10.2775,10.2395,10.7973,10.5941,-0.597,-1.5764,-5.7547,1.8733,-2.7978,-2.4366,-18.7805

PRICE_WINDOW_180_ROW_114=20260424,10.0,10.1,9.91,9.92,159000.0,10.022,10.2478,10.2055,10.7685,10.5882,-0.7007,-2.7451,-6.4151,0.6169,-3.1983,-2.7975,-19.3496

PRICE_WINDOW_180_ROW_115=20260427,9.92,10.0,9.85,9.91,210000.0,9.994,10.2196,10.176,10.7387,10.5823,-0.1008,-1.393,-5.619,0.8146,-3.0295,-2.614,-19.4309

PRICE_WINDOW_180_ROW_116=20260428,9.87,9.92,9.8,9.86,682000.0,9.946,10.1896,10.149,10.7105,10.576,-0.5045,-2.3762,-5.1923,2.3747,-3.2351,-2.8476,-19.8374

PRICE_WINDOW_180_ROW_117=20260429,10.0,10.0,9.79,9.84,323000.0,9.904,10.1605,10.121,10.6853,10.5697,-0.2028,-2.0896,-5.3846,1.1209,-3.1544,-2.7764,-20.0

PRICE_WINDOW_180_ROW_118=20260430,9.84,10.05,9.8,9.81,223000.0,9.868,10.1313,10.094,10.658,10.5633,-0.3049,-1.8018,-5.2174,0.7902,-3.1713,-2.8136,-20.2439

PRICE_WINDOW_180_ROW_119=20260504,9.79,9.79,9.54,9.56,650000.0,9.796,10.0837,10.0495,10.6257,10.5549,-2.5484,-3.629,-8.5167,2.0971,-5.1934,-4.8709,-22.2764

PRICE_WINDOW_180_ROW_120=20260505,9.56,9.56,9.44,9.46,344000.0,9.706,10.0317,10.0075,10.59,10.5458,-1.046,-4.5409,-8.1553,1.0702,-5.6991,-5.4709,-23.0894

PRICE_WINDOW_180_ROW_121=20260506,9.47,9.47,9.31,9.42,429000.0,9.618,9.9807,9.971,10.5578,10.5313,-0.4228,-4.4625,-7.1921,1.281,-5.6182,-5.526,-23.4146

PRICE_WINDOW_180_ROW_122=20260507,9.42,9.46,9.32,9.44,372000.0,9.538,9.9357,9.928,10.5227,10.5192,0.2123,-4.065,-8.3495,1.08,-4.9888,-4.9154,-23.252

PRICE_WINDOW_180_ROW_123=20260508,9.46,9.61,9.4,9.43,410000.0,9.462,9.8935,9.8945,10.4815,10.5086,-0.1059,-3.8736,-6.6337,1.2379,-4.6852,-4.6945,-22.7049

PRICE_WINDOW_180_ROW_124=20260511,10.1,10.35,10.1,10.35,1077000.0,9.62,9.9316,9.8995,10.4573,10.5061,9.7561,8.2636,0.9756,3.0445,4.2131,4.5507,-13.75

PRICE_WINDOW_180_ROW_125=20260512,10.5,10.55,10.15,10.25,994000.0,9.778,9.9581,9.902,10.4365,10.5023,-0.9662,8.351,0.4902,2.5357,2.9312,3.5144,-12.766

PRICE_WINDOW_180_ROW_126=20260513,10.2,10.3,10.15,10.3,362000.0,9.954,9.9866,9.912,10.4182,10.4994,0.4878,9.3418,1.9802,0.9126,3.1382,3.9144,-11.2069

PRICE_WINDOW_180_ROW_127=20260514,10.4,10.5,10.2,10.2,237000.0,10.106,10.0044,9.9145,10.3957,10.4969,-0.9709,8.0508,0.4926,0.5983,1.9553,2.8796,-12.069

PRICE_WINDOW_180_ROW_128=20260515,10.1,10.2,10.1,10.15,308000.0,10.25,10.0165,9.9145,10.3748,10.4957,-0.4902,7.6352,0.0,0.7588,1.3326,2.3753,-12.5

PRICE_WINDOW_180_ROW_129=20260518,10.15,10.35,10.15,10.3,198000.0,10.24,10.0401,9.9195,10.3615,10.4948,1.4778,-0.4831,0.9804,0.4864,2.5882,3.8359,-8.4444

PRICE_WINDOW_180_ROW_130=20260519,10.4,10.55,10.2,10.3,239000.0,10.25,10.0618,9.932,10.349,10.4936,0.0,0.4878,2.4876,0.5891,2.3674,3.7052,-8.4444
