date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20260320,27.8,28.0,26.1,26.25,501309223.0,27.3,26.5104,26.955,22.39,18.0921,-3.8462,-11.6162,24.7031,0.5897,-0.9822,-2.6155,-21.1712
20260323,24.95,26.0,24.95,25.0,269438843.0,26.84,26.3845,27.1075,22.585,18.1858,-4.7619,-8.4249,13.8952,0.317,-5.2474,-7.7746,-24.9249
20260324,26.0,26.45,24.1,24.5,388539761.0,26.2,26.2275,27.165,22.7783,18.2771,-2.0,-11.5523,4.9251,0.4591,-6.5865,-9.8104,-26.4264
20260325,25.5,26.15,25.15,25.65,274222757.0,25.74,26.1793,27.205,22.995,18.3804,4.6939,-8.229,3.2193,0.329,-2.022,-5.7159,-22.973
20260326,26.0,26.55,25.0,25.0,248645740.0,25.28,26.0811,27.225,23.205,18.4738,-2.5341,-8.4249,1.626,0.3134,-4.145,-8.1726,-24.9249
20260327,24.6,24.9,24.05,24.8,174519266.0,24.99,25.9743,27.125,23.4067,18.5654,-0.8,-5.5238,-7.4627,0.2295,-4.5211,-8.5714,-25.5255
20260330,24.25,24.6,23.65,24.6,192998701.0,24.91,25.8598,26.9275,23.6058,18.6542,-0.8065,-1.6,-13.8354,0.2681,-4.8716,-8.6436,-26.1261
20260331,24.5,25.05,23.8,23.85,308334588.0,24.78,25.6923,26.8225,23.7858,18.7358,-3.0488,-2.6531,-8.0925,0.4515,-7.1706,-11.0821,-28.3784
20260401,25.05,25.95,24.8,25.05,328715661.0,24.66,25.6388,26.8375,23.9825,18.8267,5.0314,-2.3392,1.2121,0.4913,-2.2964,-6.6605,-24.7748
20260402,25.3,25.9,24.65,24.65,280976969.0,24.59,25.5564,26.77,24.1683,18.9138,-1.5968,-1.4,-5.1923,0.4343,-3.5466,-7.9193,-25.976
20260407,25.3,25.5,24.0,24.05,179826978.0,24.44,25.4308,26.5975,24.3217,18.9908,-2.4341,-3.0242,-12.5455,0.293,-5.4298,-9.578,-27.7778
20260408,24.7,26.45,24.7,26.2,368105745.0,24.76,25.4949,26.5175,24.4867,19.0892,8.9397,6.5041,-5.7554,0.6312,2.7655,-1.1973,-21.3213
20260409,26.5,28.0,25.7,26.95,585534130.0,25.38,25.6162,26.4875,24.6517,19.1938,2.8626,12.9979,-2.1779,1.0706,5.2069,1.7461,-19.0691
20260410,27.55,27.55,25.4,26.0,391667912.0,25.57,25.6482,26.2725,24.7833,19.2871,-3.525,3.7924,-14.1914,0.7683,1.3717,-1.0372,-21.9219
20260413,26.0,26.5,25.5,26.3,196853660.0,25.9,25.7025,25.94,24.89,19.3846,1.1538,6.6937,-20.1821,0.4525,2.3247,1.3878,-21.021
20260414,26.75,27.85,26.5,27.25,412731989.0,26.54,25.8315,25.8175,24.98,19.4896,3.6122,13.3056,-8.2492,1.0658,5.4915,5.5486,-18.1682
20260415,27.6,28.3,27.0,27.6,490740497.0,26.82,25.9788,25.8325,25.0708,19.5938,1.2844,5.3435,1.0989,1.3568,6.2403,6.8422,-17.1171
20260416,28.2,28.9,27.2,27.25,559188666.0,26.88,26.0848,25.81,25.1792,19.6938,-1.2681,1.1132,-1.6245,1.597,4.4671,5.5792,-18.1682
20260417,27.05,27.05,25.8,25.9,338854980.0,26.86,26.0694,25.7075,25.2775,19.7804,-4.9541,-0.3846,-7.3345,0.988,-0.6497,0.7488,-22.2222
20260420,26.05,26.4,25.5,26.15,216671979.0,26.83,26.0761,25.65,25.3467,19.8712,0.9653,-0.5703,-4.2125,0.646,0.2834,1.9493,-21.4715
20260421,26.35,26.6,25.7,26.0,191605469.0,26.58,26.0697,25.6375,25.4025,19.9654,-0.5736,-4.5872,-0.9524,0.5989,-0.2675,1.4139,-21.9219
20260422,26.0,26.3,25.5,25.6,164011004.0,26.18,26.0306,25.6675,25.4225,20.0575,-1.5385,-7.2464,2.4,0.5213,-1.6542,-0.263,-23.1231
20260423,25.8,25.95,23.9,24.1,347083200.0,25.55,25.8697,25.6475,25.4083,20.1388,-5.8594,-11.5596,-1.6327,1.1104,-6.8409,-6.0337,-27.6276
20260424,24.2,24.3,23.0,23.4,233909107.0,25.05,25.6639,25.535,25.355,20.2188,-2.9046,-9.6525,-8.7719,0.7532,-8.8214,-8.3611,-29.7297
20260427,23.5,24.7,22.95,24.3,259067260.0,24.68,25.5503,25.5,25.28,20.3042,3.8462,-7.0746,-2.8,0.8328,-4.8933,-4.7059,-27.027
20260428,24.3,25.0,24.0,24.35,130750892.0,24.35,25.4502,25.4775,25.2333,20.3912,0.2058,-6.3462,-1.8145,0.4233,-4.3231,-4.4255,-26.8769
