ticker,name,market,date,revenue_period,industry,revenue_yoy_pct,cumulative_yoy_pct,close,ma20,ma60,gap_ma20_pct,gap_ma60_pct,return_10d_pct,return_20d_pct,score,judge
6672,騰輝電子-KY,listed,20260515,11504,電子零組件業,36.93,26.19,181.5,204.1,145.18,-11.07,25.02,-17.12,13.44,60,初步觀察
2062,橋椿,listed,20260515,11504,居家生活,23.18,10.98,19.1,21.08,20.99,-9.39,-8.99,-8.39,-12.79,60,初步觀察
4164,承業醫,listed,20260515,11504,生技醫療業,21.8,16.75,28.05,29.73,30.9,-5.64,-9.23,-3.44,-10.81,60,初步觀察
6830,汎銓,listed,20260515,11504,其他電子業,20.24,23.36,735.0,810.7,561.04,-9.34,31.01,-13.53,-8.7,60,初步觀察
8045,達運光電,listed,20260515,11504,通信網路業,95.94,60.09,68.7,74.62,76.39,-7.94,-10.06,-6.28,-8.4,57,初步觀察
6657,華安,listed,20260515,11504,生技醫療業,89.91,34.23,39.05,41.85,44.21,-6.69,-11.67,-7.13,-21.35,57,初步觀察
2022,聚亨,listed,20260515,11504,鋼鐵工業,58.73,58.3,7.64,8.2,8.75,-6.82,-12.67,-5.91,-13.77,57,初步觀察
2515,中工,listed,20260515,11504,建材營造,52.63,39.29,12.25,13.24,14.34,-7.48,-14.56,-6.13,-10.26,57,初步觀察
9906,欣巴巴,listed,20260515,11504,建材營造,995635.71,1075.79,31.9,37.36,40.51,-14.62,-21.26,-16.6,-24.05,55,初步觀察
2542,興富發,listed,20260515,11504,建材營造,4077.66,1725.22,43.75,39.17,37.4,11.68,16.97,8.97,23.94,55,初步觀察
2855,統一證,listed,20260515,11504,金融保險業,1002.14,365.77,40.8,37.36,33.29,9.22,22.57,14.61,21.79,55,初步觀察
2611,志信,listed,20260515,11504,航運業,119.47,112.71,12.7,13.64,14.3,-6.93,-11.19,-4.51,-15.33,55,初步觀察
6152,百一,listed,20260515,11504,通信網路業,116.93,18.06,14.8,14.78,16.88,0.1,-12.32,9.63,-16.38,55,初步觀察
1316,上曜,listed,20260515,11504,建材營造,115.49,135.29,10.6,11.32,12.29,-6.4,-13.78,-3.64,-13.11,55,初步觀察
2314,台揚,listed,20260515,11504,通信網路業,89.93,64.87,12.35,14.23,16.79,-13.23,-26.44,-12.41,-12.1,55,初步觀察
2425,承啟,listed,20260515,11504,電腦及週邊設備業,87.78,75.59,34.6,31.4,29.38,10.21,17.77,14.19,11.43,55,初步觀察
3528,安馳,listed,20260515,11504,電子通路業,83.24,97.77,86.6,79.96,71.05,8.3,21.88,8.39,23.01,55,初步觀察
2059,川湖,listed,20260515,11504,電子零組件業,79.14,48.91,4860.0,4370.25,3661.5,11.21,32.73,24.3,41.07,55,初步觀察
2376,技嘉,listed,20260515,11504,電腦及週邊設備業,73.66,64.15,326.5,294.85,255.97,10.73,27.56,19.6,16.19,55,初步觀察
5215,科嘉-KY,listed,20260515,11504,電腦及週邊設備業,72.73,40.2,43.3,39.24,38.33,10.36,12.97,15.78,13.2,55,初步觀察
2241,艾姆勒,listed,20260515,11504,汽車工業,65.61,34.04,34.3,31.24,29.95,9.79,14.51,15.1,22.94,55,初步觀察
2543,皇昌,listed,20260515,11504,建材營造,62.15,31.77,37.45,46.18,58.43,-18.9,-35.91,-19.81,-35.1,55,初步觀察
1522,堤維西,listed,20260515,11504,汽車工業,53.32,40.26,29.5,31.57,35.38,-6.56,-16.62,-4.68,-11.14,55,初步觀察
7786,東方風能,listed,20260515,11504,綠能環保,52.31,53.14,124.0,135.15,140.34,-8.25,-11.64,-11.11,-12.98,55,初步觀察
2884,玉山金,listed,20260515,11504,金融保險業,47.82,24.75,31.95,32.25,32.77,-0.92,-2.49,0.31,-3.18,55,初步觀察
2108,南帝,listed,20260515,11504,橡膠工業,47.3,23.57,27.0,27.03,26.13,-0.12,3.34,1.12,3.85,55,初步觀察
6196,帆宣,listed,20260515,11504,其他電子業,46.34,17.69,403.5,393.92,323.98,2.43,24.54,6.75,18.68,55,初步觀察
6776,展碁國際,listed,20260515,11504,電子通路業,45.95,26.2,56.7,58.18,58.92,-2.54,-3.77,0.0,-7.05,55,初步觀察
6863,永道-KY,listed,20260515,11504,通信網路業,45.6,11.7,107.0,104.3,99.31,2.59,7.74,5.42,4.9,55,初步觀察
1725,元禎,listed,20260515,11504,化學工業,45.18,13.8,31.0,31.66,30.33,-2.09,2.19,0.0,0.32,55,初步觀察
1342,八貫,listed,20260515,11504,其他,44.52,24.1,93.2,94.48,92.78,-1.35,0.45,1.3,1.3,55,初步觀察
4770,上品,listed,20260515,11504,化學工業,44.41,18.61,226.5,230.48,232.98,-1.72,-2.78,2.26,-0.44,55,初步觀察
2892,第一金,listed,20260515,11504,金融保險業,41.98,22.6,29.3,28.85,28.91,1.56,1.35,1.56,1.74,55,初步觀察
1583,程泰,listed,20260515,11504,電機機械,40.74,16.67,48.15,47.64,46.23,1.06,4.16,3.33,1.26,55,初步觀察
3013,晟銘電,listed,20260515,11504,電腦及週邊設備業,40.66,27.01,103.0,109.42,104.42,-5.87,-1.36,-1.44,-1.9,55,初步觀察
1514,亞力,listed,20260515,11504,電機機械,40.12,29.03,116.5,116.35,114.64,0.13,1.62,5.91,4.48,55,初步觀察
7749,意騰-KY,listed,20260515,11504,半導體業,39.5,61.6,488.0,463.72,421.26,5.23,15.84,14.55,18.45,55,初步觀察
