date,ticker,name,market,close,volume_lots,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,industry,is_mainstream,tdcc_date,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge,stage_order
20260518,2342,茂矽,TWSE,39.65,3850.0,W底右側攻擊增強・預備發動,接近突破型,94,20251231,28.4,20260122,40.6,20260423,30.0,5.63,42.96,32.17,-2.34,37.15,23.91,9515.0,10969.0,1.15,7,9,1.38,半導體業,True,20260515,39.48,-4.57,34.17,-3.78,大戶籌碼減少,2
20260518,2352,佳世達,TWSE,25.1,3373.0,W底右側攻擊增強・預備發動,接近突破型,90,20260331,22.7,20260423,26.2,20260427,23.8,4.85,15.42,5.46,-4.2,10.11,4.8,4817.0,5792.0,1.2,8,8,1.48,電腦及週邊設備業,True,20260515,48.73,0.5,43.59,0.82,中大戶/超大戶同步增加,2
20260518,9939,宏全,TWSE,122.5,1515.0,W底右側攻擊增強・預備發動,接近突破型,88,20260106,115.5,20260318,125.5,20260323,114.5,-0.87,8.66,6.99,-2.39,3.85,6.52,1109.0,1508.0,1.36,20,10,0.83,其他,False,20260515,59.83,1.4,49.88,1.93,中大戶/超大戶同步增加,2
20260518,3045,台灣大,TWSE,114.0,12852.0,W底右側攻擊增強・預備發動,接近突破型,82,20260112,106.5,20260420,115.5,20260508,109.5,2.82,8.45,4.11,-1.3,5.58,3.64,7587.0,12431.0,1.64,22,2,0.33,通信網路業,True,20260515,91.92,0.24,89.73,0.21,中大戶/超大戶同步增加,2
20260518,2606,裕民,TWSE,63.4,4501.0,W底右側攻擊增強・預備發動,接近突破型,74,20260309,59.5,20260417,65.4,20260427,59.9,0.67,9.92,5.84,-3.06,7.62,4.97,4589.0,6151.0,1.34,12,5,0.31,航運業,False,20260515,74.82,0.6,72.25,0.7,中大戶/超大戶同步增加,2
20260518,2451,創見,TWSE,328.5,5277.0,W底右側攻擊增強・預備發動,接近突破型,64,20260211,206.0,20260320,335.0,20260420,240.0,16.5,62.62,36.87,-1.94,37.9,31.14,9493.0,12436.0,1.31,11,10,0.71,半導體業,True,20260515,79.33,0.56,73.69,0.05,中大戶/超大戶同步增加,2
20260518,6239,力成,TWSE,250.0,44344.0,W底右側攻擊增強・預備發動,已突破但未過熱,126,20260324,188.0,20260414,237.5,20260417,206.0,9.57,26.33,21.36,5.26,13.28,20.48,10415.0,23165.0,2.22,4,9,2.18,半導體業,True,20260515,72.61,-0.71,65.13,-1.22,大戶籌碼減少,3
20260518,6168,宏齊,TWSE,25.95,1959.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20251231,19.35,20260128,25.05,20260202,20.0,3.36,29.46,29.75,3.59,26.61,28.15,1962.0,8286.0,4.22,10,32,6.27,光電業,True,20260515,45.62,-0.38,42.76,0.01,超大戶增加,3
20260518,3605,宏致,TWSE,76.0,2816.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20251230,58.0,20260128,70.5,20260415,63.6,9.66,21.55,19.5,7.8,17.66,19.12,2872.0,10169.0,3.54,8,9,2.24,電子零組件業,True,20260515,45.24,0.08,38.62,0.74,中大戶/超大戶同步增加,3
20260518,6412,群電,TWSE,88.4,1338.0,W底右側攻擊增強・預備發動,已突破但未過熱,120,20260331,72.2,20260413,83.9,20260423,76.1,5.4,16.2,16.16,5.36,12.86,14.51,1120.0,3715.0,3.32,2,9,4.61,電子零組件業,True,20260515,82.35,0.11,78.8,0.04,中大戶/超大戶同步增加,3
