source_version,condition_variant_id,metric_basis,episode_count,stock_count,launch_count,no_launch_count,right_censored_count,retrospective_launch_rate_pct,unresolved_candidate_count,observed_d20_count,first_breakout_d20_positive_rate_pct,first_breakout_d20_neutral_rate_pct,first_breakout_d20_loss_rate_pct,first_breakout_d20_high_return_ge20_rate_pct,first_breakout_d20_mean_pct,first_breakout_d20_median_pct,first_breakout_d20_min_pct,first_breakout_d20_max_pct,metric_interpretation,research_only,formal_model_use_allowed,promotion_evidence_allowed,pdf_consumption_allowed,production_change
v3_candidate,absolute_or_turn_positive_accel20,candidate_exclusion_sensitivity_only,1731,1433,388,219,1124,63.9209,0,1549,46.6753,0.9684,52.3564,12.5888,3.4413,-0.6061,-35.6747,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge10,primary_all_rows,1749,1443,400,226,1123,63.8978,156,1553,47.1346,1.0947,51.7708,14.1661,4.266,-0.5005,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge10,candidate_exclusion_sensitivity_only,1593,1313,379,222,992,63.0616,0,1408,48.0824,1.1364,50.7812,14.6307,4.3737,-0.3252,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge12_5,primary_all_rows,1688,1396,388,214,1086,64.4518,156,1496,46.7246,1.0027,52.2727,14.3048,4.1759,-0.6136,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge12_5,candidate_exclusion_sensitivity_only,1532,1266,367,210,955,63.6049,0,1351,47.5944,1.0363,51.3694,14.8038,4.2676,-0.4854,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge15,primary_all_rows,1625,1351,371,202,1052,64.7469,156,1447,46.0954,0.9675,52.9371,14.1672,4.1021,-0.7812,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge15,candidate_exclusion_sensitivity_only,1469,1221,350,198,921,63.8686,0,1302,46.9278,0.9985,52.0737,14.6697,4.189,-0.6803,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge15_cumulative_improving,primary_all_rows,1618,1347,370,202,1046,64.6853,156,1441,45.9403,0.9715,53.0881,14.2956,4.1016,-0.7916,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge15_cumulative_improving,candidate_exclusion_sensitivity_only,1462,1217,349,198,915,63.8026,0,1296,46.7593,1.0031,52.2377,14.8148,4.1888,-0.6849,-31.8038,119.5918,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
v3_candidate,absolute_or_two_month_yoy_ge17_5,primary_all_rows,1580,1321,364,188,1028,65.942,156,1408,46.0227,1.0653,52.9119,14.4886,4.2399,-0.7565,-89.832,562.6506,retrospective_close_observation_not_formal_operation_win_rate,true,false,false,false,false
