rank,signal_date,stock_id,stock_name,theme,theme_mainstream_status,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_four_threshold_weekly_increase_sum,tdcc_weighted_weekly_increase_score,tdcc_effective_increase_count,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_effective_streak_weeks,tdcc_high_pair_streak_bonus,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,tdcc_phase_group_zh,risk_bucket,risk_bucket_zh,price_return_20d,distance_ma20_pct,relative_return_vs_benchmark,ranking_note_zh
324,20260807,3046,建碁,電腦及週邊設備業,mainstream_leader,-1.86,-1.86,0.03999999999999915,0.01999999999999602,1.019999999999996,0.0,1.0799999999999912,3.14,1,0.0,5.0,410.53,10.0,0,0.0,3,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
325,20260807,4303,信立,塑膠工業,single_name_signal,-2.19,-2.19,0.3500000000000014,0.35999999999999943,0.3800000000000008,1.4000000000000004,2.490000000000002,7.81,1,0.0,0.0,437.4,10.0,0,0.0,1,True,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,-0.7683863885839637,4.3578643578643605,6.324847131041178,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
326,20260807,1762,中化生,生技醫療業,mainstream_leader,-2.25,-2.25,-0.5200000000000031,0.05999999999999517,1.0499999999999972,0.0,1.1099999999999923,2.75,1,0.0,5.0,205.88,10.0,0,0.0,5,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
327,20260807,3021,鴻名,電子零組件業,mainstream_leader,-2.52,-2.52,0.009999999999990905,0.009999999999990905,0.8299999999999983,-0.009999999999990905,0.8499999999999801,2.48,1,0.0,5.0,341.86,10.0,0,0.0,1,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
328,20260807,2723,美食-KY,觀光餐旅,mainstream_leader,-2.53,-2.53,0.35999999999999943,0.19000000000001194,0.5499999999999972,0.020000000000003126,1.1200000000000117,2.47,1,0.0,5.0,254.66,10.0,0,0.0,2,True,True,tdcc_price_divergence,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,-7.807807807807798,-2.709554745682141,-0.6494087649638547,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 與股價背離
329,20260807,3624,光頡,被動元件,non_mainstream_watch,-2.58,-2.58,-0.509999999999998,-0.8900000000000006,-0.9099999999999966,0.6099999999999994,0.6099999999999994,-2.58,1,0.0,0.0,3254.4,0.0,0,0.0,1,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；價格資料不足
330,20260807,3138,耀登,通信網路業,mainstream_leader,-2.8,-2.8,0.019999999999999574,1.0899999999999999,0.0,0.0,1.1099999999999994,2.2,1,0.0,5.0,417.65,10.0,0,0.0,3,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
331,20260807,6957,裕慶-KY,其他業,single_name_signal,-2.84,-2.84,-0.5200000000000102,-0.5499999999999972,0.5399999999999991,0.5400000000000063,1.0800000000000054,2.16,2,5.0,0.0,264.37,10.0,1,0.0,2,False,True,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 2/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
332,20260807,2734,易飛網,觀光餐旅,mainstream_leader,-2.86,-2.86,0.020000000000003126,1.0600000000000023,0.0,0.0,1.0800000000000054,2.14,1,0.0,5.0,105.25,10.0,0,0.0,5,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
333,20260807,3390,旭軟,電子零組件業,mainstream_leader,-2.89,-2.89,0.28999999999999915,0.9100000000000001,0.0,0.0,1.1999999999999993,2.11,1,0.0,5.0,325.1,10.0,0,0.0,6,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
334,20260807,3311,閎暉,通信網路業,mainstream_leader,-2.94,-2.94,0.10999999999999943,-0.44999999999999574,0.8700000000000045,0.05999999999999517,1.0399999999999991,2.06,1,0.0,5.0,319.45,10.0,0,0.0,4,False,True,tdcc_price_divergence,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,-14.400000000000002,-5.239852398523981,-5.662545471464409,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 與股價背離
335,20260807,5210,寶碩,資訊服務業,mainstream_leader,-2.98,-2.98,-0.45000000000000284,0.8500000000000014,0.10999999999999943,0.10999999999999943,1.0700000000000003,2.02,1,0.0,5.0,431.85,10.0,0,0.0,9,False,True,tdcc_price_divergence,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,-8.40197693574959,-5.232657235384353,-3.1887282292161094,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 與股價背離
336,20260807,3580,友威科,其他電子業,mainstream_leader,-3.01,-3.01,-1.049999999999999,1.5200000000000005,0.0,0.0,1.5200000000000005,1.99,1,0.0,5.0,460.0,10.0,0,0.0,3,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
337,20260807,3162,精確,機器人自動化 / 電機機械待細分,mainstream_leader,-3.05,-3.05,0.29999999999999716,0.030000000000001137,0.5300000000000011,0.0,0.8599999999999994,1.95,1,0.0,5.0,910.2,10.0,0,0.0,1,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
338,20260807,5244,弘凱,光電業,mainstream_leader,-3.1,-3.1,0.060000000000002274,0.9200000000000017,0.0,0.0,0.980000000000004,1.9,1,0.0,5.0,197.17,10.0,0,0.0,3,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
339,20260807,6781,AES-KY,電子零組件業,mainstream_leader,-3.21,-3.21,0.6400000000000006,0.12000000000000455,0.13000000000000966,0.13000000000000966,1.0200000000000244,1.79,1,0.0,5.0,727.87,10.0,0,0.0,1,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,-6.4377682403433445,9.487218120636843,7.340550503767796,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 後股價過熱
340,20260807,6220,岳豐,電子零組件業,mainstream_leader,-3.31,-3.31,-0.14999999999999858,-0.10000000000000142,-0.0799999999999983,0.5700000000000003,0.5700000000000003,1.69,1,0.0,5.0,437.35,10.0,0,0.0,2,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
341,20260807,1618,合機,重電電網,mainstream_leader,-3.31,-3.31,0.7100000000000009,0.4200000000000017,0.020000000000003126,0.01999999999999602,1.1700000000000017,1.69,1,0.0,5.0,761.7,10.0,0,0.0,2,True,True,tdcc_leading_price,TDCC 領先股價 / 潛伏吸籌,strong_but_pre_move,籌碼強但尚未發動,-4.69135802469135,1.0801963993453345,0.7375456654688528,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；TDCC 領先股價 / 潛伏吸籌
342,20260807,6215,和椿,其他電子業,mainstream_leader,-3.37,-3.37,0.05000000000000071,0.7600000000000016,0.019999999999999574,0.0,0.8300000000000018,1.63,1,0.0,5.0,983.88,10.0,0,0.0,1,False,False,insufficient_price_context,價格資料不足,insufficient_data,資料不足,,,,有效級距增加 1/4（門檻 >0.5）；20日均量低於1000張；價格資料不足
