rule_name,rule_family,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,sample_status
vol5_avg_ge_1_5 + market_bull + tdcc_all_up + kd_bullish_not_overheated + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,208,80,38.46,0.15,123,55,6.43,13.36,1.2,100.0,strong_bull=197; mild_bull=11,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_all_up + kd_bullish_not_overheated + bb_width_not_extreme + return_5d_5_20,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,156,60,38.46,0.11,88,36,5.32,11.9,0.99,100.0,strong_bull=144; range_or_unclear=8; mild_bull=4,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_streak2 + rsi_50_75 + return_20d_10_60,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,104,40,38.46,0.08,46,22,7.21,12.25,0.75,100.0,strong_bull=83; range_or_unclear=17; mild_bull=4,ok_initial_sample
vol5_avg_ge_2 + market_bull + macd_hist_pos + kd_bullish_not_overheated + return_10d_10_40,market+price_position+technical+volume,D+10,D+1_open,10.0,2086,802,38.45,1.53,790,370,6.83,12.23,0.8,26.08,strong_bull=1898; mild_bull=188,ok_initial_sample
vol5_avg_ge_1_5 + market_strong_bull + kd_bullish_not_overheated + bb_width_not_extreme + return_5d_5_20,market+price_position+technical+volume,D+10,D+1_open,10.0,1644,632,38.44,1.21,679,318,7.0,11.47,1.06,48.78,strong_bull=1644,ok_initial_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_high_up + near_60d_high_10pct,market+price_position+tdcc+volume,D+10,D+1_open,10.0,393,151,38.42,0.29,155,64,6.78,12.15,0.93,100.0,strong_bull=393,ok_initial_sample
vol5_avg_ge_2 + tdcc_all_up + rsi_50_75 + return_5d_5_20,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,190,73,38.42,0.14,89,42,5.53,13.95,0.77,100.0,strong_bull=141; range_or_unclear=45; mild_bull=4,ok_initial_sample
vol5_avg_ge_3 + market_bull + macd_hist_pos + kd_bullish_not_overheated + return_5d_10_30,market+price_position+technical+volume,D+10,D+1_open,10.0,565,217,38.41,0.41,317,136,6.62,13.01,0.59,21.59,strong_bull=515; mild_bull=50,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_streak2 + close_above_ema23 + return_5d_10_30,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,151,58,38.41,0.11,67,30,7.25,11.29,1.01,100.0,strong_bull=118; range_or_unclear=25; mild_bull=7; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_1_5 + market_strong_bull + tdcc_high_up + kd_bullish_not_overheated + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,250,96,38.4,0.18,146,65,6.51,12.64,1.09,100.0,strong_bull=250,ok_initial_sample
vol5_avg_ge_2 + tdcc_all_up + rsi_50_75,tdcc+technical+volume,D+10,D+1_open,10.0,310,119,38.39,0.23,129,59,6.11,13.58,0.72,100.0,strong_bull=244; range_or_unclear=55; mild_bull=10; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_3 + tdcc_high_up + close_above_ema23,tdcc+technical+volume,D+10,D+1_open,10.0,112,43,38.39,0.08,48,25,7.15,11.56,0.54,100.0,strong_bull=84; range_or_unclear=21; mild_bull=5; weak_or_correction=2,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + return_10d_10_40,market+price_position+volume,D+10,D+1_open,10.0,1795,689,38.38,1.32,615,304,7.08,11.48,0.9,12.2,strong_bull=1795,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + close_above_ema23 + return_5d_10_30,market+price_position+technical+volume,D+10,D+1_open,10.0,1381,530,38.38,1.01,554,269,6.94,11.62,0.87,14.34,strong_bull=1381,ok_initial_sample
vol5_avg_ge_3 + macd_hist_pos + kd_bullish_not_overheated + return_10d_10_40,price_position+technical+volume,D+10,D+1_open,10.0,714,274,38.38,0.52,376,159,6.64,12.51,0.5,20.87,strong_bull=560; range_or_unclear=100; mild_bull=50; weak_or_correction=4,ok_initial_sample
vol5_avg_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_10d_10_40,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,172,66,38.37,0.13,91,44,7.51,11.31,0.9,100.0,strong_bull=126; range_or_unclear=37; mild_bull=8; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + close_above_ema23 + return_20d_10_60,market+price_position+technical+volume,D+10,D+1_open,10.0,1712,656,38.32,1.25,579,287,6.65,11.52,0.92,13.61,strong_bull=1712,ok_initial_sample
vol5_avg_ge_3 + kd_bullish_not_overheated + return_5d_10_30,price_position+technical+volume,D+10,D+1_open,10.0,1073,411,38.3,0.79,500,231,7.12,11.87,0.74,14.91,strong_bull=890; range_or_unclear=96; mild_bull=79; weak_or_correction=8,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_all_up + macd_hist_pos + near_60d_high_10pct,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,872,334,38.3,0.64,250,104,6.13,12.36,1.01,100.0,strong_bull=704; range_or_unclear=142; mild_bull=22; weak_or_correction=4,ok_initial_sample
day_vol_ge_2 + tdcc_high_up + macd_hist_pos + near_60d_high_5pct,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,551,211,38.29,0.4,243,105,6.1,12.15,1.01,100.0,strong_bull=461; range_or_unclear=70; mild_bull=16; weak_or_correction=4,ok_initial_sample
vol5_avg_ge_3 + market_bull + close_above_ema23 + return_10d_10_40,market+price_position+technical+volume,D+10,D+1_open,10.0,1711,655,38.28,1.25,590,294,7.13,11.8,0.86,13.44,strong_bull=1606; mild_bull=105,ok_initial_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_high_up + kd_bullish_not_overheated + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,123,47,38.21,0.09,70,34,7.25,11.94,0.75,100.0,strong_bull=123,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + macd_hist_pos + return_20d_10_60,market+price_position+technical+volume,D+10,D+1_open,10.0,1220,466,38.2,0.89,480,222,6.16,11.89,0.85,17.87,strong_bull=1220,ok_initial_sample
vol5_avg_ge_3 + macd_hist_pos + near_60d_high_10pct,price_position+technical+volume,D+10,D+1_open,10.0,1702,650,38.19,1.24,618,277,6.16,11.86,0.8,17.92,strong_bull=1309; range_or_unclear=262; mild_bull=123; weak_or_correction=8,ok_initial_sample
vol5_avg_ge_3 + near_60d_high_5pct,price_position+volume,D+10,D+1_open,10.0,1448,553,38.19,1.06,607,269,6.22,11.34,0.86,16.85,strong_bull=1162; range_or_unclear=193; mild_bull=88; weak_or_correction=5,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_streak2 + macd_hist_pos + return_5d_10_30,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,144,55,38.19,0.11,64,29,7.01,11.18,1.0,100.0,strong_bull=111; range_or_unclear=25; mild_bull=7; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_3 + kd_bullish_not_overheated + return_20d_10_60,price_position+technical+volume,D+10,D+1_open,10.0,946,361,38.16,0.69,451,209,7.08,11.93,0.8,15.12,strong_bull=813; range_or_unclear=84; mild_bull=47; weak_or_correction=2,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + macd_hist_pos + near_60d_high_5pct,market+price_position+technical+volume,D+10,D+1_open,10.0,962,367,38.15,0.7,473,204,5.97,11.22,0.97,18.71,strong_bull=962,ok_initial_sample
day_vol_ge_2 + rsi_50_75 + return_5d_5_20,price_position+technical+volume,D+10,D+1_open,10.0,6272,2392,38.14,4.57,1500,855,6.91,11.6,0.98,22.23,strong_bull=5182; range_or_unclear=579; mild_bull=492; weak_or_correction=19,ok_initial_sample
vol5_avg_ge_2 + market_strong_bull + kd_bullish_not_overheated + return_5d_10_30,market+price_position+technical+volume,D+10,D+1_open,10.0,2433,928,38.14,1.77,901,450,7.08,11.38,0.96,21.41,strong_bull=2433,ok_initial_sample
vol5_avg_ge_3 + market_bull + macd_hist_pos + kd_bullish_not_overheated + return_20d_10_60,market+price_position+technical+volume,D+10,D+1_open,10.0,548,209,38.14,0.4,308,127,6.38,12.99,0.62,20.62,strong_bull=501; mild_bull=47,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + macd_hist_pos + return_5d_10_30,market+price_position+technical+volume,D+10,D+1_open,10.0,952,363,38.13,0.69,444,199,6.4,12.03,0.77,19.12,strong_bull=952,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_all_up + close_above_ema23 + near_60d_high_10pct,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,884,337,38.12,0.64,251,106,6.26,12.35,1.01,100.0,strong_bull=719; range_or_unclear=139; mild_bull=22; weak_or_correction=4,ok_initial_sample
vol5_avg_ge_2 + market_bull + tdcc_all_up + macd_hist_pos + return_5d_5_20,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,202,77,38.12,0.15,98,46,6.06,13.42,0.85,100.0,strong_bull=192; mild_bull=10,ok_initial_sample
vol5_avg_ge_2 + market_strong_bull + bb_width_not_extreme + near_60d_high_5pct,market+price_position+technical+volume,D+10,D+1_open,10.0,399,152,38.1,0.29,231,100,6.38,12.4,0.94,48.62,strong_bull=399,ok_initial_sample
day_vol_ge_2 + tdcc_all_up + bb_width_not_extreme + return_5d_10_30,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,126,48,38.1,0.09,79,31,5.99,12.85,1.53,100.0,strong_bull=117; range_or_unclear=5; mild_bull=4,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + near_60d_high_10pct,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,1051,400,38.06,0.76,288,123,6.29,12.14,0.97,100.0,strong_bull=853; range_or_unclear=168; mild_bull=26; weak_or_correction=4,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_all_up + macd_hist_pos,tdcc+technical+volume,D+10,D+1_open,10.0,1146,436,38.05,0.83,308,135,6.11,12.13,0.9,100.0,strong_bull=943; range_or_unclear=167; mild_bull=31; weak_or_correction=5,ok_initial_sample
vol5_avg_ge_2 + macd_hist_pos + near_60d_high_5pct,price_position+technical+volume,D+10,D+1_open,10.0,4206,1600,38.04,3.06,1095,506,6.56,11.77,1.05,23.06,strong_bull=3390; range_or_unclear=496; mild_bull=310; weak_or_correction=10,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + kd_bullish_not_overheated + return_10d_10_40,market+price_position+technical+volume,D+10,D+1_open,10.0,949,361,38.04,0.69,438,203,7.17,11.3,0.88,13.38,strong_bull=949,ok_initial_sample
vol5_avg_ge_1_5 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,263,100,38.02,0.19,153,68,6.44,12.54,1.1,100.0,strong_bull=250; mild_bull=13,ok_initial_sample
vol5_avg_ge_3 + bb_width_not_extreme + return_5d_5_20,price_position+technical+volume,D+10,D+1_open,10.0,121,46,38.02,0.09,84,34,8.04,11.65,0.99,38.84,strong_bull=116; range_or_unclear=4; mild_bull=1,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_all_up + return_5d_5_20,price_position+tdcc+volume,D+10,D+1_open,10.0,600,228,38.0,0.44,225,99,6.36,12.92,0.83,100.0,strong_bull=473; range_or_unclear=102; mild_bull=24; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_2 + macd_hist_pos + kd_bullish_not_overheated + return_10d_10_40,price_position+technical+volume,D+10,D+1_open,10.0,2403,913,37.99,1.74,833,400,6.83,12.07,0.79,25.84,strong_bull=1898; range_or_unclear=308; mild_bull=188; weak_or_correction=9,ok_initial_sample
vol5_avg_ge_2 + tdcc_all_up,tdcc+volume,D+10,D+1_open,10.0,616,234,37.99,0.45,183,89,6.22,12.09,0.79,100.0,strong_bull=471; range_or_unclear=102; mild_bull=38; weak_or_correction=5,ok_initial_sample
vol5_avg_ge_2 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,129,49,37.98,0.09,75,36,7.32,11.81,0.77,100.0,strong_bull=123; mild_bull=6,ok_initial_sample
vol5_avg_ge_2 + market_strong_bull + bb_width_not_extreme + return_5d_5_20,market+price_position+technical+volume,D+10,D+1_open,10.0,841,319,37.93,0.61,401,183,6.64,11.42,0.89,43.16,strong_bull=841,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + bb_width_not_extreme + return_5d_5_20,market+price_position+technical+volume,D+10,D+1_open,10.0,116,44,37.93,0.08,80,32,8.04,11.83,0.98,37.07,strong_bull=116,ok_initial_sample
vol5_avg_ge_3 + market_bull + kd_bullish_not_overheated + return_20d_10_60,market+price_position+technical+volume,D+10,D+1_open,10.0,860,326,37.91,0.62,413,191,7.08,11.95,0.88,14.42,strong_bull=813; mild_bull=47,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + kd_bullish_not_overheated + return_5d_10_30,market+price_position+technical+volume,D+10,D+1_open,10.0,890,337,37.87,0.64,431,195,7.05,11.4,0.87,14.83,strong_bull=890,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + macd_hist_pos + kd_bullish_not_overheated + return_10d_10_40,market+price_position+technical+volume,D+10,D+1_open,10.0,560,212,37.86,0.41,306,128,6.36,12.19,0.66,21.25,strong_bull=560,ok_initial_sample
day_vol_ge_2 + tdcc_high_up + macd_hist_pos + kd_bullish_not_overheated + return_5d_10_30,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,243,92,37.86,0.18,150,63,6.27,11.88,1.41,100.0,strong_bull=199; range_or_unclear=33; mild_bull=10; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_streak2 + return_10d_10_40,price_position+tdcc+volume,D+10,D+1_open,10.0,214,81,37.85,0.15,68,32,7.01,10.88,0.71,100.0,strong_bull=156; range_or_unclear=46; mild_bull=11; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_3 + market_bull + close_above_ema23 + near_60d_high_5pct,market+price_position+technical+volume,D+10,D+1_open,10.0,1237,467,37.75,0.89,550,238,5.97,11.18,0.91,16.25,strong_bull=1149; mild_bull=88,ok_initial_sample
day_vol_ge_2 + tdcc_all_up + macd_hist_pos + kd_bullish_not_overheated + return_5d_10_30,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,204,77,37.75,0.15,126,53,6.14,12.47,1.51,100.0,strong_bull=165; range_or_unclear=28; mild_bull=10; weak_or_correction=1,ok_initial_sample
day_vol_ge_2 + market_bull + rsi_50_75 + return_5d_5_20,market+price_position+technical+volume,D+10,D+1_open,10.0,5674,2140,37.72,4.09,1465,822,6.78,11.43,0.93,22.33,strong_bull=5182; mild_bull=492,ok_initial_sample
day_vol_ge_2 + kd_bullish_not_overheated + bb_width_not_extreme + near_60d_high_5pct,price_position+technical+volume,D+10,D+1_open,10.0,912,344,37.72,0.66,535,230,5.95,11.33,1.23,58.99,strong_bull=853; mild_bull=30; range_or_unclear=29,ok_initial_sample
day_vol_ge_2 + close_above_ema23 + return_5d_5_20,price_position+technical+volume,D+10,D+1_open,10.0,8174,3079,37.67,5.88,1608,923,6.76,11.4,0.99,22.89,strong_bull=6913; range_or_unclear=761; mild_bull=476; weak_or_correction=24,ok_initial_sample
vol5_avg_ge_3 + macd_hist_pos + kd_bullish_not_overheated + return_5d_10_30,price_position+technical+volume,D+10,D+1_open,10.0,662,249,37.61,0.48,357,153,6.3,12.65,0.48,22.21,strong_bull=515; range_or_unclear=93; mild_bull=50; weak_or_correction=4,ok_initial_sample
vol5_avg_ge_2 + tdcc_high_streak2 + close_above_ema23 + return_10d_10_40,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,117,44,37.61,0.08,45,21,7.25,11.27,0.6,100.0,strong_bull=88; range_or_unclear=22; mild_bull=6; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_3 + market_bull + bb_width_not_extreme + return_5d_5_20,market+price_position+technical+volume,D+10,D+1_open,10.0,117,44,37.61,0.08,80,32,8.04,11.74,0.95,37.61,strong_bull=116; mild_bull=1,ok_initial_sample
day_vol_ge_2 + market_strong_bull + tdcc_all_up + bb_width_not_extreme + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,117,44,37.61,0.08,74,28,6.01,12.91,1.51,100.0,strong_bull=117,ok_initial_sample
vol5_avg_ge_2 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_10_40,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,149,56,37.58,0.11,86,39,7.24,11.61,0.82,100.0,strong_bull=139; mild_bull=10,ok_initial_sample
vol5_avg_ge_2 + market_bull + macd_hist_pos + near_60d_high_5pct,market+price_position+technical+volume,D+10,D+1_open,10.0,3700,1390,37.57,2.66,1058,472,6.35,11.62,1.06,23.3,strong_bull=3390; mild_bull=310,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + macd_hist_pos + return_10d_10_40,market+price_position+technical+volume,D+10,D+1_open,10.0,1134,426,37.57,0.81,464,212,6.25,11.87,0.81,18.25,strong_bull=1134,ok_initial_sample
day_vol_ge_2 + market_bull + tdcc_all_up + rsi_50_75 + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,189,71,37.57,0.14,125,48,6.44,14.51,1.38,100.0,strong_bull=185; mild_bull=4,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + close_above_ema23 + return_10d_10_40,market+price_position+technical+volume,D+10,D+1_open,10.0,1606,603,37.55,1.15,570,279,6.81,11.46,0.91,13.57,strong_bull=1606,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + near_60d_high_10pct,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,1076,404,37.55,0.77,290,126,6.37,12.08,0.98,100.0,strong_bull=882; range_or_unclear=164; mild_bull=26; weak_or_correction=4,ok_initial_sample
vol5_avg_ge_2 + market_bull + macd_hist_pos + kd_bullish_not_overheated + return_5d_10_30,market+price_position+technical+volume,D+10,D+1_open,10.0,1806,678,37.54,1.3,771,356,6.63,11.85,0.82,28.02,strong_bull=1648; mild_bull=158,ok_initial_sample
day_vol_ge_2 + market_strong_bull + tdcc_high_up + macd_hist_pos + near_60d_high_5pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,461,173,37.53,0.33,224,92,5.69,11.9,1.05,100.0,strong_bull=461,ok_initial_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_all_up + macd_hist_pos + return_5d_5_20,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,192,72,37.5,0.14,93,43,5.93,13.27,0.85,100.0,strong_bull=192,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + macd_hist_pos + kd_bullish_not_overheated + return_5d_10_30,market+price_position+technical+volume,D+10,D+1_open,10.0,515,193,37.48,0.37,292,122,6.33,12.3,0.64,23.11,strong_bull=515,ok_initial_sample
vol5_avg_ge_2 + kd_bullish_not_overheated + bb_width_not_extreme + near_60d_high_10pct,price_position+technical+volume,D+10,D+1_open,10.0,491,184,37.47,0.35,280,115,5.61,11.55,0.86,58.25,strong_bull=455; range_or_unclear=20; mild_bull=16,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + near_60d_high_5pct,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,705,264,37.45,0.5,234,98,5.9,12.22,1.12,100.0,strong_bull=593; range_or_unclear=90; mild_bull=19; weak_or_correction=3,ok_initial_sample
vol5_avg_ge_3 + market_bull + near_60d_high_5pct,market+price_position+volume,D+10,D+1_open,10.0,1250,468,37.44,0.89,555,238,5.92,11.09,0.91,16.8,strong_bull=1162; mild_bull=88,ok_initial_sample
vol5_avg_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_10d_10_40,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,187,70,37.43,0.13,94,46,7.32,11.45,0.84,100.0,strong_bull=139; range_or_unclear=37; mild_bull=10; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_up + macd_hist_pos + return_5d_5_20,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,695,260,37.41,0.5,265,117,6.34,12.41,0.84,100.0,strong_bull=560; range_or_unclear=115; mild_bull=19; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_2 + tdcc_all_up + return_5d_5_20,price_position+tdcc+volume,D+10,D+1_open,10.0,286,107,37.41,0.2,116,56,6.06,12.67,0.81,100.0,strong_bull=208; range_or_unclear=61; mild_bull=17,ok_initial_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_high_up + kd_bullish_not_overheated + return_10d_10_40,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,139,52,37.41,0.1,79,35,7.05,11.41,0.79,100.0,strong_bull=139,ok_initial_sample
day_vol_ge_2 + return_5d_5_20,price_position+volume,D+10,D+1_open,10.0,9672,3614,37.37,6.9,1660,980,6.72,11.22,0.97,19.81,strong_bull=7567; mild_bull=1119; range_or_unclear=932; weak_or_correction=54,ok_initial_sample
day_vol_ge_2 + market_bull + kd_bullish_not_overheated + bb_width_not_extreme + near_60d_high_5pct,market+price_position+technical+volume,D+10,D+1_open,10.0,883,330,37.37,0.63,523,221,5.67,11.31,1.23,57.87,strong_bull=853; mild_bull=30,ok_initial_sample
vol5_avg_ge_2 + market_bull + kd_bullish_not_overheated + bb_width_not_extreme + near_60d_high_10pct,market+price_position+technical+volume,D+10,D+1_open,10.0,471,176,37.37,0.34,272,111,5.36,11.43,0.86,56.9,strong_bull=455; mild_bull=16,ok_initial_sample
vol5_avg_ge_2 + market_strong_bull + macd_hist_pos + kd_bullish_not_overheated + return_10d_10_40,market+price_position+technical+volume,D+10,D+1_open,10.0,1898,709,37.36,1.35,752,334,6.53,11.84,0.87,27.5,strong_bull=1898,ok_initial_sample
day_vol_ge_2 + market_bull + close_above_ema23 + return_5d_5_20,market+price_position+technical+volume,D+10,D+1_open,10.0,7389,2759,37.34,5.27,1571,899,6.68,11.27,0.96,23.03,strong_bull=6913; mild_bull=476,ok_initial_sample
day_vol_ge_2 + market_bull + tdcc_high_up + macd_hist_pos + near_60d_high_5pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,477,178,37.32,0.34,231,96,5.69,11.88,1.05,100.0,strong_bull=461; mild_bull=16,ok_initial_sample
day_vol_ge_2 + market_strong_bull + tdcc_all_up + macd_hist_pos + near_60d_high_5pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,370,138,37.3,0.26,188,77,5.68,12.35,1.09,100.0,strong_bull=370,ok_initial_sample
day_vol_ge_2 + tdcc_all_up + close_above_ema23 + near_60d_high_5pct,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,472,176,37.29,0.34,215,92,6.04,12.09,1.0,100.0,strong_bull=390; range_or_unclear=63; mild_bull=16; weak_or_correction=3,ok_initial_sample
day_vol_ge_2 + market_bull + tdcc_high_up + kd_bullish_not_overheated + return_20d_10_60,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,236,88,37.29,0.17,154,66,6.67,11.92,1.37,100.0,strong_bull=226; mild_bull=10,ok_initial_sample
vol5_avg_ge_2 + market_strong_bull + tdcc_high_up + kd_bullish_not_overheated + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,118,44,37.29,0.08,75,34,6.58,10.75,0.99,100.0,strong_bull=118,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + kd_bullish_not_overheated + return_20d_10_60,market+price_position+technical+volume,D+10,D+1_open,10.0,813,303,37.27,0.58,394,179,6.84,11.45,0.92,14.88,strong_bull=813,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23 + return_5d_5_20,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,730,272,37.26,0.52,270,122,6.46,12.34,0.84,100.0,strong_bull=597; range_or_unclear=113; mild_bull=19; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_all_up + rsi_50_75 + return_5d_5_20,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,408,152,37.25,0.29,180,78,6.08,13.38,0.86,100.0,strong_bull=327; range_or_unclear=72; mild_bull=8; weak_or_correction=1,ok_initial_sample
day_vol_ge_2 + macd_hist_pos + near_60d_high_5pct,price_position+technical+volume,D+10,D+1_open,10.0,6829,2543,37.24,4.86,1489,720,6.16,11.32,1.03,25.77,strong_bull=5594; range_or_unclear=747; mild_bull=470; weak_or_correction=18,ok_initial_sample
day_vol_ge_2 + macd_hist_pos + return_5d_5_20,price_position+technical+volume,D+10,D+1_open,10.0,6386,2378,37.24,4.54,1517,821,6.45,11.4,0.98,26.78,strong_bull=5190; range_or_unclear=728; mild_bull=444; weak_or_correction=24,ok_initial_sample
day_vol_ge_2 + market_bull + tdcc_all_up + macd_hist_pos + near_60d_high_5pct,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,384,143,37.24,0.27,196,81,5.7,12.34,1.08,100.0,strong_bull=370; mild_bull=14,ok_initial_sample
vol5_avg_ge_3 + market_bull + macd_hist_pos + near_60d_high_10pct,market+price_position+technical+volume,D+10,D+1_open,10.0,1432,533,37.22,1.02,562,247,5.96,11.63,0.82,17.81,strong_bull=1309; mild_bull=123,ok_initial_sample
vol5_avg_ge_1_5 + tdcc_high_up + close_above_ema23,tdcc+technical+volume,D+10,D+1_open,10.0,1408,524,37.22,1.0,353,161,6.21,11.85,0.87,100.0,strong_bull=1172; range_or_unclear=193; mild_bull=39; weak_or_correction=4,ok_initial_sample
day_vol_ge_2 + market_bull + tdcc_all_up + rsi_50_75 + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,172,64,37.21,0.12,112,42,5.64,14.56,1.58,100.0,strong_bull=168; mild_bull=4,ok_initial_sample
day_vol_ge_2 + market_bull + tdcc_all_up + bb_width_not_extreme + return_5d_10_30,market+price_position+tdcc+technical+volume,D+10,D+1_open,10.0,121,45,37.19,0.09,78,29,5.96,12.95,1.47,100.0,strong_bull=117; mild_bull=4,ok_initial_sample
day_vol_ge_2 + market_bull + return_5d_5_20,market+price_position+volume,D+10,D+1_open,10.0,8686,3229,37.17,6.17,1625,952,6.67,11.14,0.93,20.02,strong_bull=7567; mild_bull=1119,ok_initial_sample
day_vol_ge_2 + tdcc_high_up + kd_bullish_not_overheated + return_5d_10_30,price_position+tdcc+technical+volume,D+10,D+1_open,10.0,269,100,37.17,0.19,161,69,6.4,11.45,1.4,100.0,strong_bull=223; range_or_unclear=33; mild_bull=12; weak_or_correction=1,ok_initial_sample
vol5_avg_ge_3 + market_strong_bull + macd_hist_pos + kd_bullish_not_overheated + return_20d_10_60,market+price_position+technical+volume,D+10,D+1_open,10.0,501,186,37.13,0.36,288,115,6.09,12.28,0.68,21.96,strong_bull=501,ok_initial_sample
day_vol_ge_2 + kd_bullish_not_overheated + return_5d_5_20,price_position+technical+volume,D+10,D+1_open,10.0,6801,2524,37.11,4.82,1541,899,6.73,11.22,1.02,22.53,strong_bull=5586; range_or_unclear=613; mild_bull=566; weak_or_correction=36,ok_initial_sample
day_vol_ge_2 + market_bull + macd_hist_pos + near_60d_high_5pct,market+price_position+technical+volume,D+10,D+1_open,10.0,6064,2248,37.07,4.29,1451,693,6.09,11.24,1.02,26.24,strong_bull=5594; mild_bull=470,ok_initial_sample
