# PRICE_WINDOW_121

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_067=20260305,12.05,12.2,12.0,12.15,8000,12.16,12.0775,11.7542,11.8179,12.0241,0.0,0.8299,0.4132,0.1963,0.6003,-6.5385

PRICE_WINDOW_180_ROW_068=20260306,12.0,12.25,12.0,12.25,9000,12.18,12.095,11.76,11.8243,12.0429,0.823,0.823,2.9412,0.2256,1.2815,-5.7692

PRICE_WINDOW_180_ROW_069=20260309,11.9,12.15,11.85,11.85,13000,12.12,12.08,11.765,11.8246,12.0268,-3.2653,-2.4691,-2.4691,0.3238,-1.904,-8.8462

PRICE_WINDOW_180_ROW_070=20260312,11.95,12.8,11.7,11.7,267000,12.02,12.05,11.7625,11.8229,11.9996,-1.2658,-4.0984,-4.878,5.0425,-2.9046,-10.0

PRICE_WINDOW_180_ROW_071=20260313,11.8,12.35,11.8,12.2,18000,12.03,12.0575,11.7692,11.8282,12.0163,4.2735,0.4115,1.2448,0.3349,1.1818,-6.1538

PRICE_WINDOW_180_ROW_072=20260316,12.35,12.5,11.9,12.1,241000,12.02,12.0575,11.7758,11.8319,12.0233,-0.8197,-0.4115,0.0,4.5558,0.3525,-6.9231

PRICE_WINDOW_180_ROW_073=20260317,12.15,12.25,12.15,12.25,2000,12.02,12.075,11.78,11.8377,12.0422,1.2397,0.0,2.9412,0.0379,1.4493,-5.7692

PRICE_WINDOW_180_ROW_074=20260318,12.35,12.35,12.35,12.35,1000,12.12,12.0925,11.7858,11.8446,12.0678,0.8163,4.2194,2.9167,0.0192,2.1294,-5.0

PRICE_WINDOW_180_ROW_075=20260319,12.2,12.5,11.85,11.85,313000,12.15,12.0775,11.7842,11.8447,12.0497,-4.0486,1.2821,-2.4691,4.6405,-1.8837,-8.8462

PRICE_WINDOW_180_ROW_076=20260320,11.85,11.95,11.65,11.8,28000,12.07,12.065,11.7825,11.8441,12.0289,-0.4219,-3.2787,-2.0747,0.4076,-2.1964,-9.2308

PRICE_WINDOW_180_ROW_077=20260323,11.8,11.8,11.7,11.7,35000,11.99,12.0475,11.7817,11.8422,12.0015,-0.8475,-3.3058,-2.9046,0.504,-2.8844,-10.0

PRICE_WINDOW_180_ROW_078=20260324,11.7,11.7,11.7,11.7,1000,11.88,12.04,11.7817,11.8404,11.9763,0.0,-4.4898,-1.2658,0.0148,-2.8239,-10.0

PRICE_WINDOW_180_ROW_079=20260326,12.1,12.35,11.6,11.7,378000,11.75,12.0325,11.7842,11.8386,11.9533,0.0,-5.2632,-1.2658,4.3877,-2.7633,-10.0

PRICE_WINDOW_180_ROW_080=20260327,11.65,11.65,11.65,11.65,1000,11.71,12.005,11.7917,11.8362,11.928,-0.4274,-1.6878,-4.5082,0.0118,-2.9571,-10.3846

PRICE_WINDOW_180_ROW_081=20260330,11.85,11.85,11.85,11.85,1000,11.72,11.99,11.8042,11.8364,11.9215,1.7167,0.4237,-2.4691,0.0118,-1.1676,-8.8462

PRICE_WINDOW_180_ROW_082=20260331,12.1,12.1,11.8,11.85,9000,11.75,11.98,11.8158,11.8366,11.9156,0.0,1.2821,-1.6598,0.1263,-1.0851,-8.8462

PRICE_WINDOW_180_ROW_083=20260401,12.15,12.15,12.15,12.15,1000,11.84,11.98,11.8333,11.8404,11.9351,2.5316,3.8462,0.0,0.0143,1.419,-6.5385

PRICE_WINDOW_180_ROW_084=20260402,12.05,12.45,12.05,12.05,302000,11.91,11.975,11.845,11.8429,11.9447,-0.823,2.9915,-0.823,3.606,0.6263,-7.3077

PRICE_WINDOW_180_ROW_085=20260407,12.05,12.15,11.65,11.7,269000,11.92,11.95,11.8508,11.8412,11.9243,-2.9046,0.4292,-4.0984,2.805,-2.0921,-10.0

PRICE_WINDOW_180_ROW_086=20260408,11.65,11.85,11.65,11.8,8000,11.91,11.9325,11.8592,11.8407,11.9139,0.8547,-0.4219,-2.8807,0.084,-1.1104,-9.2308

PRICE_WINDOW_180_ROW_087=20260409,11.8,11.8,11.8,11.8,1000,11.9,11.915,11.8667,11.8402,11.9044,0.0,-0.4219,-2.8807,0.0105,-0.9652,-9.2308

PRICE_WINDOW_180_ROW_088=20260410,11.55,11.7,11.55,11.65,12000,11.8,11.885,11.8717,11.8381,11.8832,-1.2712,-4.1152,-4.898,0.1262,-1.9773,-10.3846

PRICE_WINDOW_180_ROW_089=20260413,11.75,11.95,11.75,11.85,15000,11.76,11.885,11.8792,11.8382,11.8805,1.7167,-1.6598,0.0,0.1576,-0.2945,-8.8462

PRICE_WINDOW_180_ROW_090=20260414,11.7,11.7,11.65,11.7,7000,11.76,11.885,11.885,11.8367,11.8654,-1.2658,0.0,0.0,0.0852,-1.5566,-10.0

PRICE_WINDOW_180_ROW_091=20260415,11.7,11.7,11.7,11.7,10000,11.74,11.86,11.8933,11.8352,11.8516,0.0,-0.8475,-4.0984,0.1223,-1.3491,-10.0

PRICE_WINDOW_180_ROW_092=20260416,11.75,11.75,11.6,11.65,8000,11.71,11.8375,11.8967,11.8332,11.8348,-0.4274,-1.2712,-3.719,0.1141,-1.5839,-10.3846

