date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20260126,15.1,15.75,14.95,15.1,460576.0,15.2,14.7321,14.735,13.9117,13.8746,0.0,-3.2051,1.3423,0.8313,2.4971,2.4771,-4.127
20260127,15.1,15.15,14.9,15.0,227607.0,15.08,14.7544,14.745,13.9467,13.8862,-0.6623,-3.8462,1.3514,0.426,1.6643,1.7294,-4.7619
20260128,15.15,15.2,14.8,14.85,269944.0,15.01,14.7624,14.7575,13.9858,13.8929,-1.0,-2.3026,1.7123,0.5274,0.5933,0.6268,-5.7143
20260129,14.95,14.95,14.5,14.65,277945.0,14.94,14.753,14.7525,14.025,13.8996,-1.3468,-2.3333,-0.678,0.5594,-0.6984,-0.6948,-6.9841
20260130,14.65,14.65,14.15,14.25,267541.0,14.77,14.7111,14.73,14.0625,13.9025,-2.7304,-5.6291,-3.0612,0.5573,-3.1345,-3.2587,-9.5238
20260202,14.05,14.15,13.8,13.95,327167.0,14.54,14.6477,14.7325,14.09,13.905,-2.1053,-7.6159,0.3597,0.7007,-4.7632,-5.3114,-11.4286
20260203,14.2,14.35,14.1,14.25,164247.0,14.39,14.6146,14.7375,14.12,13.9092,2.1505,-5.0,0.7067,0.356,-2.4945,-3.3079,-9.5238
20260204,14.15,14.65,14.05,14.6,240313.0,14.34,14.6133,14.7425,14.1592,13.9154,2.4561,-1.6835,0.6897,0.5294,-0.0913,-0.9666,-7.3016
20260205,14.55,14.55,14.3,14.35,182104.0,14.28,14.5914,14.7475,14.195,13.9179,-1.7123,-2.0478,0.7018,0.405,-1.6544,-2.6954,-8.8889
20260206,14.1,14.1,13.8,13.9,279925.0,14.21,14.5338,14.7325,14.2208,13.9175,-3.1359,-2.4561,-2.1127,0.6245,-4.3607,-5.6508,-11.746
20260209,14.1,14.1,13.8,13.85,257655.0,14.19,14.4768,14.7,14.245,13.9167,-0.3597,-0.7168,-4.4828,0.5824,-4.3297,-5.7823,-12.0635
20260210,13.9,13.95,13.75,13.9,145495.0,14.12,14.4287,14.6875,14.25,13.9196,0.361,-2.4561,-1.7668,0.3384,-3.6644,-5.3617,-11.746
20260211,13.85,13.95,13.65,13.65,501360.0,13.93,14.3638,14.615,14.2425,13.9208,-1.7986,-6.5068,-9.6026,1.3162,-4.9697,-6.6028,-13.3333
20260223,13.75,13.95,13.65,13.75,336568.0,13.81,14.3127,14.57,14.24,13.9225,0.7326,-4.1812,-6.1433,0.9129,-3.9314,-5.628,-12.6984
20260224,13.95,14.05,13.8,13.85,237695.0,13.8,14.2741,14.52,14.2492,13.9262,0.7273,-0.3597,-6.734,0.665,-2.9713,-4.6143,-12.0635
20260225,13.95,14.05,13.9,13.9,300138.0,13.81,14.2429,14.435,14.2575,13.93,0.361,0.361,-10.8974,0.9331,-2.4079,-3.7063,-11.746
