date,ticker,name,market,open,high,low,close,volume,turnover
20250924,3169,亞信,otc,123.0,123.0,118.5,119.0,805307.0,96499741.0
20250924,3171,炎洲流通,otc,70.3,70.7,69.5,70.1,14582.0,1017838.0
20250924,3176,基亞,otc,33.4,33.6,32.7,32.7,720074.0,23829124.0
20250924,3178,公準,otc,72.2,72.2,70.7,71.2,151679.0,10841683.0
20250924,3188,鑫龍騰,otc,22.8,23.0,22.35,22.45,454727.0,10253089.0
20250924,3191,雲嘉南,otc,26.45,26.45,26.45,26.45,702183.0,18572709.0
20250924,3205,佰研,otc,54.2,54.5,53.7,54.0,104653.0,5652757.0
20250924,3206,志豐,otc,41.3,42.75,40.8,42.0,1897029.0,79190929.0
20250924,3207,耀勝,otc,65.0,66.7,64.9,65.1,606007.0,39741136.0
20250924,3211,順達,otc,451.5,455.0,429.0,436.0,10857730.0,4755678466.0
20250924,3213,茂訊,otc,120.5,123.5,120.0,122.0,653569.0,79766430.0
20250924,3217,優群,otc,190.0,193.0,188.0,190.5,995407.0,189258672.0
20250924,3218,大學光,otc,131.0,138.5,131.0,138.0,1040903.0,141839271.0
20250924,3219,倚強科,otc,84.2,84.3,82.6,82.9,378151.0,31514172.0
20250924,3221,台嘉碩,otc,62.3,63.6,59.5,60.0,15705376.0,951959672.0
20250924,3224,三顧,otc,40.0,40.0,39.2,39.25,115217.0,4551023.0
20250924,3226,龍鋒,otc,42.75,44.55,42.75,44.55,20252.0,884962.0
20250924,3227,原相,otc,230.0,230.5,225.0,227.5,1446499.0,328232857.0
20250924,3228,金麗科,otc,206.0,206.0,200.0,201.0,567700.0,114471653.0
20250924,3230,錦明,otc,30.6,31.4,29.85,30.2,886665.0,26936632.0
20250924,3232,昱捷,otc,25.15,25.15,23.2,23.6,1534361.0,37673195.0
20250924,3234,光環,otc,100.0,108.0,99.6,108.0,5114762.0,548568911.0
20250924,3236,千如,otc,55.1,55.5,53.9,55.0,2081536.0,114174217.0
20250924,3252,海灣,otc,17.65,18.0,17.65,17.85,27219.0,484387.0
20250924,3259,鑫創,otc,17.15,17.3,16.75,16.75,70353.0,1193365.0
20250924,3260,威剛,otc,413.5,420.0,411.0,415.0,12937393.0,5385585876.0
20250924,3264,欣銓,otc,254.5,259.0,241.0,243.5,27444021.0,6922135307.0
20250924,3265,台星科,otc,196.0,197.5,186.5,190.5,2137347.0,408220902.0
20250924,3268,海德威,otc,17.8,18.05,17.25,18.0,212563.0,3745446.0
20250924,3272,東碩,otc,16.5,17.9,16.5,17.9,384223.0,6795788.0
20250924,3276,宇環,otc,14.15,14.25,13.8,14.05,162327.0,2273088.0
20250924,3284,太普高,otc,15.95,16.15,15.8,16.0,170186.0,2705169.0
20250924,3285,微端,otc,31.25,31.5,31.15,31.5,69825.0,2184219.0
20250924,3287,廣寰科,otc,38.1,39.4,37.25,38.0,1182472.0,44694944.0
20250924,3288,點晶,otc,16.6,16.6,16.55,16.6,160667.0,2666861.0
20250924,3289,宜特,otc,168.5,171.0,165.0,168.0,1694852.0,284101368.0
20250924,3290,東浦,otc,48.35,48.85,47.6,48.5,776811.0,37565928.0
20250924,3293,鈊象,otc,758.0,763.0,752.0,754.0,2506121.0,1894065785.0
20250924,3294,英濟,otc,40.35,40.65,39.35,40.2,1486413.0,59331929.0
20250924,3297,杭特,otc,29.7,29.7,29.3,29.4,142684.0,4200246.0
20250924,3303,岱稜,otc,49.25,49.5,48.85,49.35,211567.0,10425593.0
20250924,3306,鼎天,otc,47.3,48.5,46.65,47.4,466094.0,22316111.0
20250924,3310,佳穎,otc,72.7,74.5,72.3,72.3,1003091.0,73741780.0
20250924,3313,斐成,otc,11.15,11.2,11.0,11.1,199458.0,2209397.0
20250924,3317,尼克森,otc,85.9,86.8,83.1,83.8,4837089.0,406909645.0
20250924,3322,建舜電,otc,13.05,13.15,12.95,13.1,566462.0,7402959.0
20250924,3323,加百裕,otc,37.6,38.25,37.05,37.9,2623621.0,98904783.0
20250924,3324,雙鴻,otc,1035.0,1080.0,1020.0,1065.0,2917123.0,3058096925.0
20250924,3325,旭品,otc,11.8,11.95,11.7,11.8,198169.0,2339170.0
20250924,3332,幸康,otc,68.7,68.7,66.1,66.8,19212.0,1285633.0
20250924,3339,泰谷,otc,46.3,47.1,44.5,44.65,2322195.0,104429339.0
20250924,3349,寶德,otc,17.65,18.0,17.5,17.8,219505.0,3867912.0
20250924,3354,律勝,otc,31.85,33.15,31.35,31.7,936089.0,30063559.0
20250924,3357,臺慶科,otc,300.0,308.0,280.0,287.0,7761308.0,2250893327.0
20250924,3360,尚立,otc,14.25,14.4,14.1,14.25,244531.0,3483563.0
20250924,3362,先進光,otc,113.0,113.0,110.0,110.0,638140.0,70867935.0
20250924,3363,上詮,otc,827.0,827.0,787.0,797.0,3268056.0,2620380774.0
20250924,3372,典範,otc,21.7,22.1,21.5,21.75,1337916.0,29155939.0
20250924,3373,熱映,otc,16.65,16.9,16.65,16.9,127187.0,2133268.0
20250924,3374,精材,otc,264.0,269.0,257.5,259.0,18282410.0,4780084528.0
20250924,3379,彬台,otc,39.8,41.5,39.75,40.8,321883.0,13090668.0
20250924,3388,崇越電,otc,113.0,116.0,107.0,110.0,8079387.0,898293510.0
20250924,3390,旭軟,otc,28.8,28.8,28.0,28.1,1115909.0,31495698.0
20250924,3402,漢科,otc,146.0,149.0,146.0,147.0,1116567.0,164484607.0
20250924,3426,台興,otc,47.75,48.0,47.75,47.75,5776.0,276261.0
20250924,3430,奇鈦科,otc,175.5,177.0,167.5,169.0,1622890.0,277168301.0
20250924,3434,哲固,otc,29.5,29.55,29.15,29.45,44506.0,1308124.0
20250924,3438,類比科,otc,72.9,73.0,71.1,71.5,481905.0,34652106.0
20250924,3441,聯一光,otc,50.9,54.4,49.15,53.9,3119617.0,162981638.0
20250924,3444,利機,otc,114.0,117.5,104.0,105.0,3471737.0,373521879.0
