variant,horizon,slippage_bps,partition,population,samples,stocks,signal_dates,entry_dates,total_input_signals,condition_passed_signals,unsupported_signals,filter_rejected_signals,overlap_blocked_signals,missing_entry_signals,entry_after_as_of_signals,immature_positions,missing_exit_positions,purged_positions,anomaly_candidate_positions,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,mean_net_return_pct,median_net_return_pct,high_return_ge10_rate_pct,loss_le_minus10_rate_pct,min_net_return_pct,max_net_return_pct,formal_use,promotion_evidence_allowed
tdcc_both_net_positive,60,10,all,sensitivity_excluding_candidates,3586,1644,174,174,210140,106055,0,104085,101044,38,2,1206,19,1084,0,1534,0,2052,42.777467930842164,0.0,57.222532069157836,1.458905515756292,-2.0312019932090495,22.615727830451757,24.121583937534858,-67.4308758468559,70.65358297991796,False,False
tdcc_both_net_positive,60,20,all,primary,3746,1669,175,175,210140,106055,0,104085,101044,38,2,1206,19,1177,160,1670,0,2076,44.58088627869728,0.0,55.41911372130273,6.2636983690288455,-1.7154380790374746,25.547250400427124,23.598505072076883,-86.04428116635945,348.092142002934,False,False
tdcc_both_net_positive,60,20,all,sensitivity_excluding_candidates,3586,1644,174,174,210140,106055,0,104085,101044,38,2,1206,19,1084,0,1514,0,2072,42.21974344673731,0.0,57.78025655326269,1.2561897362307464,-2.2269462050772035,22.33686558839933,24.539877300613497,-67.49594915200365,70.31261609890537,False,False
tdcc_both_net_positive,60,0,training,primary,1731,1395,64,64,63691,31486,0,32205,29730,17,0,0,8,0,35,717,0,1014,41.421143847487,0.0,58.578856152513005,2.952847005086987,-2.2410981018714997,21.432697862507222,21.548238012709415,-84.67135194416922,265.8773153018853,False,False
tdcc_both_net_positive,60,0,training,sensitivity_excluding_candidates,1696,1371,63,63,63691,31486,0,32205,29730,17,0,0,8,0,0,684,0,1012,40.33018867924528,0.0,59.66981132075472,0.7568023550275499,-2.5246599728172074,19.92924528301887,21.875,-55.745894470321986,70.173529506168,False,False
tdcc_both_net_positive,60,10,training,primary,1731,1395,64,64,63691,31486,0,32205,29730,17,0,0,8,0,35,710,0,1021,41.01675332177932,0.0,58.98324667822068,2.747149500217872,-2.436420583186442,21.201617562102832,22.41478913922588,-84.70197861361143,265.14629169488853,False,False
tdcc_both_net_positive,60,10,training,sensitivity_excluding_candidates,1696,1371,63,63,63691,31486,0,32205,29730,17,0,0,8,0,0,677,0,1019,39.91745283018868,0.0,60.08254716981132,0.5554914809557364,-2.719415896947443,19.693396226415093,22.75943396226415,-55.83442958869392,69.83352245420762,False,False
tdcc_both_net_positive,60,20,training,primary,1731,1395,64,64,63691,31486,0,32205,29730,17,0,0,8,0,35,697,0,1034,40.26574234546505,0.0,59.73425765453495,2.541862476014084,-2.6313531992692183,20.97053726169844,22.93471981513576,-84.73254415197692,264.41672721684785,False,False
tdcc_both_net_positive,60,20,training,sensitivity_excluding_candidates,1696,1371,63,63,63691,31486,0,32205,29730,17,0,0,8,0,0,664,0,1032,39.15094339622642,0.0,60.84905660377359,0.35458233435150915,-2.9137830866981766,19.45754716981132,23.29009433962264,-55.92278799026272,69.49419405903758,False,False
tdcc_both_net_positive,60,0,purged_cross_split,primary,1177,1177,60,60,56351,27959,0,28392,26769,8,0,0,5,1177,93,585,0,592,49.70263381478335,0.0,50.29736618521665,12.827745404732365,-0.0854259269170195,33.38997451146984,22.68479184367035,-85.98825377540709,349.8881024919237,False,False
tdcc_both_net_positive,60,0,purged_cross_split,sensitivity_excluding_candidates,1084,1084,60,60,56351,27959,0,28392,26769,8,0,0,5,1084,0,494,0,590,45.571955719557195,0.0,54.4280442804428,3.5059484374323087,-1.3520723442287133,27.85977859778598,24.44649446494465,-67.36567239509786,70.99523179469256,False,False
tdcc_both_net_positive,60,10,purged_cross_split,primary,1177,1177,60,60,56351,27959,0,28392,26769,8,0,0,5,1177,93,581,0,596,49.362786745964314,0.0,50.637213254035686,12.602315368870412,-0.2850554455445579,33.050127442650805,22.939677145284623,-86.01629545659303,348.9892251642675,False,False
tdcc_both_net_positive,60,10,purged_cross_split,sensitivity_excluding_candidates,1084,1084,60,60,56351,27959,0,28392,26769,8,0,0,5,1084,0,490,0,594,45.20295202952029,0.0,54.79704797047971,3.2991418310932827,-1.5491711007837008,27.490774907749078,24.723247232472325,-67.4308758468559,70.65358297991796,False,False
tdcc_both_net_positive,60,20,purged_cross_split,primary,1177,1177,60,60,56351,27959,0,28392,26769,8,0,0,5,1177,93,578,0,599,49.10790144435004,0.0,50.89209855564996,12.37733520618761,-0.4842865020590673,32.79524214103653,23.364485981308412,-86.04428116635945,348.092142002934,False,False
tdcc_both_net_positive,60,20,purged_cross_split,sensitivity_excluding_candidates,1084,1084,60,60,56351,27959,0,28392,26769,8,0,0,5,1084,0,487,0,597,44.92619926199262,0.0,55.073800738007385,3.092747925448058,-1.7458764466469618,27.2140221402214,25.18450184501845,-67.49594915200365,70.31261609890537,False,False
tdcc_both_net_positive,60,0,validation,primary,838,838,51,51,90098,46610,0,43488,44545,13,2,1206,6,0,32,406,0,432,48.44868735083532,0.0,51.551312649164686,5.787132295142417,-0.527681292794132,25.41766109785203,24.58233890214797,-50.29208378061263,221.60020963415724,False,False
tdcc_both_net_positive,60,0,validation,sensitivity_excluding_candidates,806,806,51,51,90098,46610,0,43488,44545,13,2,1206,6,0,0,374,0,432,46.40198511166253,0.0,53.59801488833747,1.08690151314388,-1.0108449536663473,22.456575682382134,25.55831265508685,-50.29208378061263,70.16001414285583,False,False
tdcc_both_net_positive,60,10,validation,primary,838,838,51,51,90098,46610,0,43488,44545,13,2,1206,6,0,32,399,0,439,47.61336515513126,0.0,52.38663484486874,5.575769698789931,-0.7264271843170209,25.178997613365155,25.178997613365155,-50.39140029653548,220.95765177275032,False,False
tdcc_both_net_positive,60,10,validation,sensitivity_excluding_candidates,806,806,51,51,90098,46610,0,43488,44545,13,2,1206,6,0,0,367,0,439,45.53349875930521,0.0,54.46650124069479,0.8849278944119296,-1.2086254832294516,22.208436724565754,26.178660049627787,-50.39140029653548,69.82003409461836,False,False
tdcc_both_net_positive,60,20,validation,primary,838,838,51,51,90098,46610,0,43488,44545,13,2,1206,6,0,32,395,0,443,47.13603818615752,0.0,52.86396181384249,5.364828886299356,-0.9247763774536365,24.821002386634845,25.29832935560859,-50.4905185758996,220.31637646196498,False,False
tdcc_both_net_positive,60,20,validation,sensitivity_excluding_candidates,806,806,51,51,90098,46610,0,43488,44545,13,2,1206,6,0,0,363,0,443,45.03722084367246,0.0,54.96277915632754,0.6833573249101766,-1.4060112412764618,21.83622828784119,26.302729528535977,-50.4905185758996,69.48073264927157,False,False
tdcc_both_up_count_ge2,20,0,all,primary,6801,1538,218,218,210140,83993,0,126147,76506,21,8,630,27,652,227,2933,0,3868,43.12601088075283,0.0,56.87398911924717,1.0992136926904392,-1.193222506393862,15.041905602117337,13.909719158947215,-88.49746694801371,248.10314685314685,False,False
tdcc_both_up_count_ge2,20,0,all,sensitivity_excluding_candidates,6574,1532,217,217,210140,83993,0,126147,76506,21,8,630,27,616,0,2715,0,3859,41.29905689078186,0.0,58.70094310921813,-0.6847664135783834,-1.4458523517313022,12.245208396714329,14.253118344995436,-36.241312795932465,35.77362258781237,False,False
tdcc_both_up_count_ge2,20,10,all,primary,6801,1538,218,218,210140,83993,0,126147,76506,21,8,630,27,652,227,2860,0,3941,42.05263931774739,0.0,57.947360682252615,0.8972171757436997,-1.3906421983188124,14.777238641376266,14.306719600058814,-88.52044903203367,247.40884957297797,False,False
tdcc_both_up_count_ge2,20,10,all,sensitivity_excluding_candidates,6574,1532,217,217,210140,83993,0,126147,76506,21,8,630,27,616,0,2642,0,3932,40.18862184362641,0.0,59.81137815637359,-0.8831993605482532,-1.642763735643927,11.971402494675996,14.663827198052937,-36.36870278035617,35.50234661860595,False,False
tdcc_both_up_count_ge2,20,20,all,primary,6801,1538,218,218,210140,83993,0,126147,76506,21,8,630,27,652,227,2777,0,4024,40.832230554330245,0.0,59.16776944566975,0.6956236924762073,-1.5876688447598142,14.424349360388177,14.777238641376266,-88.54338524363042,246.7159332798269,False,False
